player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Mike Lofton,123751,C,USF,13,100.0,3,327,50.6,58.7,51.6,3,23,555,100.0,100.0,97.3,14,28,2,1050,1050,0,0,1050,593,593,0,0,457,0
Joe Michalski,99426,C,OKLA STATE,14,100.0,0,262,66.3,76.6,61.4,2,7,590,100.0,100.0,99.2,6,9,0,1035,1035,0,0,1035,617,617,0,0,418,0
Isaiah Helms,104720,C,APP STATE,14,100.0,0,108,67.2,80.2,60.3,1,9,529,100.0,100.0,98.9,2,11,1,1035,1035,0,0,1035,552,552,0,0,483,0
Damion Daley,75770,G,APP STATE,14,100.0,0,108,64.6,66.9,61.6,5,14,527,100.0,100.0,98.2,2,19,0,1030,0,1025,0,1030,550,550,5,0,480,0
Bucky Williams,78305,G,APP STATE,14,100.0,0,108,81.1,77.0,83.0,2,3,527,100.0,100.0,99.3,4,6,1,1030,0,0,0,1030,550,550,1030,0,480,0
Jack Murphy,121743,T,APP STATE,14,100.0,0,108,78.5,67.2,79.8,1,20,518,100.0,100.0,97.4,5,24,3,1008,0,0,61,1008,537,537,0,943,471,4
Will O'Steen,125373,T,JVILLE ST,13,100.0,0,196,67.8,63.3,67.0,5,10,382,100.0,100.0,97.5,2,17,2,996,0,0,996,996,401,401,0,0,595,0
Roger Rosengarten,131912,T,WASHINGTON,15,100.0,1,340,71.0,80.8,58.9,3,12,585,100.0,100.0,98.7,4,15,0,993,0,0,3,993,625,625,2,984,368,4
Brock Robey,163975,G,JVILLE ST,13,100.0,0,196,63.0,65.7,61.5,3,6,381,100.0,100.0,98.0,3,12,3,993,22,0,0,993,400,400,971,0,593,0
Troy Fautanu,100521,T,WASHINGTON,15,99.8,0,340,75.5,88.2,62.6,3,18,584,99.8,99.7,97.9,6,23,2,991,0,1,984,993,623,625,0,0,368,7
Kelvin Banks Jr.,163839,T,TEXAS,14,100.0,0,311,75.3,86.8,68.4,1,10,527,100.0,100.0,98.8,6,12,1,985,0,0,983,985,550,550,0,0,435,0
Hayden Conner,144723,G,TEXAS,14,100.0,0,311,64.2,82.2,59.3,2,6,526,100.0,100.0,98.7,4,11,3,982,0,966,2,982,548,548,14,0,434,0
Treylen Brown,108550,C,JVILLE ST,13,100.0,0,196,71.4,82.0,66.4,0,1,374,100.0,100.0,99.6,2,2,1,979,979,0,0,979,393,393,0,0,586,0
Derek Bowman,123654,T,USF,13,100.0,0,327,56.5,55.4,56.7,3,22,526,100.0,100.0,95.9,4,34,9,978,0,0,0,978,561,561,72,904,417,2
Venly Tatafu,158830,T,UTSA,13,99.9,4,331,66.0,76.7,64.9,0,14,501,99.8,99.8,97.6,10,19,5,977,0,297,680,978,526,527,0,0,451,0
Parker Brailsford,162482,C,WASHINGTON,15,100.0,1,340,77.3,78.4,80.7,2,11,574,100.0,100.0,98.7,8,14,1,976,839,0,0,976,612,612,137,0,364,0
Rusty Staats,81941,C,TEXAS TECH,13,100.0,0,315,57.4,63.2,54.6,6,14,522,100.0,100.0,97.5,6,23,3,975,606,0,0,975,550,550,369,0,425,0
Chandler Strong,158365,C,GA SOUTHRN,13,100.0,0,174,64.2,68.0,63.0,4,10,630,100.0,100.0,98.6,7,16,2,973,973,0,0,973,662,662,0,0,311,0
Caleb Rogers,123157,T,TEXAS TECH,13,100.0,0,315,72.4,77.6,66.8,3,11,522,100.0,100.0,98.1,4,17,3,972,0,0,0,972,550,550,0,970,422,0
Spencer Rolland,108693,T,N CAROLINA,13,100.0,4,245,63.5,71.9,56.7,3,18,536,100.0,100.0,97.5,6,24,3,971,0,0,0,971,574,574,7,960,397,4
Ernesto Almaraz,90765,T,UTSA,13,100.0,2,331,56.6,60.0,54.7,3,24,498,100.0,100.0,96.9,6,29,2,970,165,0,0,970,523,523,0,805,447,0
Derrick Graham,123703,T,TROY,14,99.9,0,318,60.5,66.2,53.0,4,17,498,99.8,99.8,97.3,5,24,3,970,0,1,968,971,523,524,0,2,447,0
Grant Betts,81870,T,TROY,14,99.9,1,318,56.0,62.7,51.5,8,20,497,99.8,99.8,96.8,4,30,2,966,0,152,0,967,522,523,0,812,444,2
Tiger Shanks,128371,T,UNLV,14,100.0,0,325,73.2,74.6,71.9,1,19,455,100.0,100.0,97.6,8,21,1,965,0,0,0,965,477,477,0,946,488,19
Amani Trigg-Wright,81887,G,UNLV,14,100.0,0,325,65.7,75.0,64.1,0,10,455,100.0,100.0,98.9,6,10,0,965,0,0,0,965,477,477,946,19,488,0
Jack Hasz,145666,C,UNLV,14,100.0,0,325,55.9,62.1,56.3,3,9,455,100.0,100.0,98.7,11,12,0,965,965,0,0,965,477,477,0,0,488,0
Daniel King,156877,G,TROY,14,100.0,0,318,69.4,75.5,66.4,4,6,495,100.0,100.0,98.0,3,15,5,963,0,0,0,963,520,520,962,1,443,0
Brian Driscoll,100534,C,CAL,13,100.0,0,130,63.2,66.2,64.9,3,13,486,100.0,100.0,97.9,9,18,2,963,939,22,0,963,524,524,0,0,439,1
Blake Miller,156248,T,CLEMSON,13,100.0,3,140,72.9,73.2,71.4,2,18,514,100.0,100.0,97.7,6,22,2,958,0,0,0,958,539,539,0,955,419,3
Will Putnam,99655,C,CLEMSON,13,100.0,0,140,69.8,75.8,66.6,1,11,513,100.0,100.0,98.6,2,13,1,958,958,0,0,958,537,537,0,0,421,0
Branson Hickman,121928,C,SMU,14,100.0,0,287,79.7,83.1,77.4,1,7,487,100.0,100.0,99.2,2,8,0,952,952,0,0,952,517,517,0,0,435,0
Dalton Cooper,98482,T,OKLA STATE,14,100.0,1,262,75.3,74.1,71.6,0,19,551,100.0,100.0,97.7,6,22,3,952,0,0,783,952,576,576,0,169,376,0
Pichon Wimbley,158371,G,GA SOUTHRN,13,100.0,0,174,61.2,79.1,51.7,2,18,615,100.0,100.0,97.9,3,23,3,950,3,944,0,950,647,647,3,0,303,0
Caleb Johnson,102301,C,TEXAS ST,13,100.0,2,314,58.0,61.9,55.4,4,13,491,100.0,100.0,97.5,6,21,4,950,944,6,0,950,508,508,0,0,442,0
Jonathan Graham,81698,G,LIBERTY,14,100.0,0,206,61.9,71.2,58.6,2,7,355,100.0,100.0,98.5,2,10,1,950,0,950,0,950,382,382,0,0,568,0
Khalil Crowder,78240,G,GA SOUTHRN,13,99.8,0,174,64.0,65.2,61.0,2,17,615,99.7,99.7,98.1,1,21,2,948,0,0,0,950,647,649,944,0,301,4
X'Zauvea Gadlin,77580,G,LIBERTY,14,100.0,0,206,74.3,73.1,73.2,0,9,354,100.0,100.0,98.7,1,9,0,946,2,0,0,946,381,381,944,0,565,0
Cade Beresford,81934,T,BOISE ST,14,100.0,1,120,67.9,74.1,61.9,4,12,414,100.0,100.0,97.6,3,18,2,945,0,0,0,945,441,441,0,940,504,5
Jordan White,123439,C,LIBERTY,14,100.0,2,206,72.1,62.6,74.0,0,8,354,100.0,100.0,98.6,7,9,1,945,944,1,0,945,381,381,0,0,564,0
Riley Mahlman,145172,T,WISCONSIN,13,100.0,0,349,74.4,76.6,73.1,3,9,526,100.0,100.0,98.1,6,16,4,944,0,0,0,944,547,547,0,943,397,0
Canaan Yarro,72292,C,NEW MEX ST,15,100.0,0,242,73.3,80.6,69.8,1,5,484,100.0,100.0,99.2,3,7,1,943,943,0,0,943,510,510,0,0,433,0
T.J. Session,102316,T,CAL,13,100.0,0,130,63.9,61.5,61.2,3,12,476,100.0,100.0,98.0,2,17,2,943,0,2,0,943,513,513,0,940,430,0
Cooper Beebe,99434,G,KANSAS ST,13,100.0,1,199,83.9,90.4,79.9,0,7,435,100.0,100.0,98.7,2,9,2,942,0,819,19,942,456,456,0,103,486,0
Preston Wilson,99429,G,OKLA STATE,13,100.0,1,262,66.1,83.3,58.9,0,8,531,100.0,100.0,99.2,2,8,0,940,0,0,0,940,556,556,940,0,384,0
Hayden Gillum,77508,C,KANSAS ST,13,100.0,0,199,65.3,69.0,62.4,0,22,433,100.0,100.0,97.5,1,22,0,940,940,0,0,940,454,454,0,0,486,0
KT Leveston,77487,T,KANSAS ST,13,100.0,0,199,68.6,72.2,64.3,2,14,429,100.0,100.0,97.7,3,18,2,932,0,0,923,932,450,450,0,0,482,8
Jimeto Obigbo,150060,T,TEXAS ST,13,100.0,1,314,59.9,74.2,51.3,4,15,481,100.0,100.0,96.8,5,25,6,932,0,0,6,932,496,496,95,829,436,2
Kyle Hergel,87427,G,BOSTON COL,13,99.9,0,121,66.4,85.1,67.7,2,3,424,100.0,99.8,99.4,11,5,0,927,4,921,0,928,451,452,1,0,476,1
Bryan Hudson,98241,C,LOUISVILLE,14,100.0,1,210,71.5,77.5,68.6,3,10,464,100.0,100.0,98.4,5,14,1,927,927,0,0,927,490,490,0,0,437,0
Drew Kendall,143829,C,BOSTON COL,13,100.0,1,121,70.6,73.0,71.3,2,11,423,100.0,100.0,98.2,8,14,1,926,926,0,0,926,450,450,0,0,476,0
Michael Gonzalez,144155,G,LOUISVILLE,14,99.9,0,210,70.6,77.9,67.3,0,14,464,99.8,99.8,98.5,4,14,0,926,0,877,48,927,490,491,0,0,436,1
John Lanz,76563,C,TCU,12,100.0,0,305,64.4,71.5,62.9,3,9,547,100.0,100.0,98.7,7,13,1,925,925,0,0,925,565,565,0,0,360,0
Nate Kalepo,100522,G,WASHINGTON,15,99.9,0,340,54.7,60.6,53.1,1,15,534,100.0,99.8,98.3,6,17,1,922,0,879,0,923,572,573,42,0,350,2
Eric Miller,52938,T,LOUISVILLE,14,99.9,0,210,63.6,72.4,56.2,1,24,457,99.8,99.8,96.8,2,27,2,920,0,0,0,921,482,483,0,915,438,5
Jacob Likes,101023,C,MEMPHIS,13,100.0,0,218,74.3,86.4,67.8,2,6,532,100.0,100.0,99.2,2,8,0,919,919,0,0,919,557,557,0,0,362,0
Xavier Hill,124098,T,MEMPHIS,13,100.0,1,218,71.2,76.4,64.2,5,16,532,100.0,100.0,97.7,2,23,2,919,0,182,246,919,557,557,0,491,362,0
Xavier Bausley,163939,T,JVILLE ST,12,100.0,0,196,68.6,68.1,66.5,5,8,348,100.0,100.0,97.8,2,14,1,914,0,0,0,914,366,366,0,914,548,0
Reggie Smith,81828,C,S ALABAMA,13,100.0,2,288,70.7,77.5,69.6,0,9,477,100.0,100.0,98.6,9,11,2,912,912,0,0,912,508,508,0,0,404,0
Corey Gaynor,59844,C,N CAROLINA,12,100.0,1,245,65.2,75.4,62.6,0,7,508,100.0,100.0,98.9,7,9,2,912,912,0,0,912,542,542,0,0,370,0
Willis Patrick,134500,G,TCU,12,100.0,0,305,73.2,81.4,69.1,2,8,542,100.0,100.0,99.1,2,10,0,911,0,0,0,911,560,560,910,0,351,0
Ethan Driskell,98530,T,MARSHALL,13,100.0,1,214,67.4,74.9,62.5,2,15,508,100.0,100.0,97.7,4,20,3,909,0,0,907,909,538,538,0,0,371,2
Devan Rogers,66122,C,TOLEDO,14,100.0,0,316,54.9,59.2,55.6,4,16,421,100.0,100.0,97.4,12,21,1,908,908,0,0,908,455,455,0,0,453,0
