player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Malcolm Pridgeon,41421,G,OHIO STATE,14,100.0,1,260,66.8,71.9,68.5,3,11,591,100.0,100.0,98.5,11,16,2,1104,0,1104,0,1104,628,628,0,0,476,0
Michael Jordan,28021,C,OHIO STATE,14,100.0,0,260,65.8,75.3,61.5,1,13,591,100.0,100.0,98.6,4,15,1,1104,1104,0,0,1104,628,628,0,0,476,0
Isaiah Prince,47019,T,OHIO STATE,14,100.0,6,260,72.2,68.4,79.7,4,18,591,100.0,100.0,97.6,17,25,3,1104,0,0,0,1104,628,628,0,1103,476,1
Cody Conway,46284,T,SYRACUSE,13,100.0,0,304,67.5,86.1,55.1,0,11,546,100.0,100.0,98.4,7,14,3,1093,0,0,1020,1093,593,593,0,73,500,0
Koda Martin,46231,T,SYRACUSE,13,100.0,0,304,71.2,70.4,70.3,3,17,546,100.0,100.0,97.4,6,24,4,1093,0,0,72,1093,593,593,0,1017,500,3
Airon Servais,41573,C,SYRACUSE,13,100.0,0,304,53.9,60.4,52.2,2,12,544,100.0,100.0,98.5,7,15,1,1087,1087,0,0,1087,591,591,0,0,496,0
Elijah Rodriguez,46835,G,TEXAS,14,100.0,0,311,66.3,75.2,60.6,4,19,557,100.0,100.0,97.4,3,26,3,1082,293,6,0,1082,580,580,781,2,502,0
Calvin Anderson,46247,T,TEXAS,14,99.9,0,311,71.3,78.4,64.9,4,15,556,99.8,99.8,97.0,7,26,7,1081,0,0,1079,1082,579,580,0,0,502,2
Jared Thomas,36609,C,NWESTERN,14,100.0,2,256,62.3,71.1,57.4,5,11,584,100.0,100.0,98.5,3,17,1,1080,1080,0,0,1080,622,622,0,0,458,0
Patrick Vahe,46039,G,TEXAS,14,100.0,2,311,55.0,65.9,51.4,2,21,554,100.0,100.0,97.6,4,25,2,1076,0,1076,0,1076,577,577,0,0,499,0
Sam Cosmi,60114,T,TEXAS,14,100.0,0,311,79.7,82.8,74.5,3,19,545,100.0,100.0,97.4,4,25,3,1055,0,0,0,1055,567,567,0,1053,488,2
Aaron Roberts,46102,G,SYRACUSE,13,100.0,0,304,55.0,72.9,48.8,0,10,529,100.0,100.0,98.7,5,12,2,1049,0,1049,0,1049,576,576,0,0,473,0
Rashawn Slater,59971,T,NWESTERN,14,100.0,0,256,75.3,76.9,70.5,1,15,558,100.0,100.0,98.2,2,18,2,1048,0,0,0,1048,594,594,0,1048,454,0
