player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Jacob Bennett,21772,T,BOWL GREEN,14,100.0,0,122,87.5,75.7,89.8,1,17,637,100.0,100.0,97.6,5,24,6,1137,0,0,1128,1137,671,671,0,2,466,7
Chris Wallace,21678,G,TULSA,13,100.0,3,320,76.0,91.3,73.8,0,6,559,100.0,100.0,99.3,7,7,1,1130,0,0,1,1130,599,599,1123,3,531,3
Evan Plagg,46373,T,TULSA,13,100.0,0,320,89.1,78.1,89.0,2,12,559,100.0,100.0,97.5,1,21,7,1130,0,0,1101,1130,599,599,0,2,531,27
Chandler Miller,26727,C,TULSA,13,100.0,0,320,74.2,77.6,79.5,0,7,559,100.0,100.0,98.5,14,12,5,1129,1129,0,0,1129,599,599,0,0,530,0
Garrett Stafford,16803,G,TULSA,13,100.0,2,320,74.3,72.4,81.1,0,10,558,100.0,100.0,97.8,15,17,7,1128,0,1117,6,1128,598,598,5,0,530,0
Jay Guillermo,22262,C,CLEMSON,15,100.0,1,140,71.5,77.3,69.6,3,10,547,100.0,100.0,98.4,4,15,2,1101,1101,0,0,1101,577,577,0,0,524,0
Ryan Hunter,46904,G,BOWL GREEN,14,100.0,0,122,85.0,82.8,87.1,1,11,606,100.0,100.0,98.8,4,13,1,1099,111,954,0,1099,640,640,0,34,459,0
Eric Mac Lain,17428,G,CLEMSON,15,100.0,0,140,75.5,80.1,70.4,4,6,552,100.0,100.0,99.1,4,10,0,1097,0,1097,0,1097,583,583,0,0,514,0
Jared Kaster,19437,C,TEXAS TECH,13,100.0,0,315,78.5,77.6,80.0,0,22,682,100.1,100.1,98.2,5,23,1,1095,1095,0,0,1095,715,714,0,0,380,0
Willie Wright,46989,T,TULSA,13,100.0,0,320,61.7,55.3,64.2,0,26,541,100.0,100.0,96.5,5,32,6,1093,0,0,15,1093,578,578,1,1072,515,5
Christian Westerman,10795,G,ARIZONA ST,13,100.0,0,110,81.5,86.6,78.6,5,9,589,100.0,100.0,98.6,0,15,1,1091,0,1091,0,1091,607,607,0,0,484,0
Dimitric Camiel,46882,T,INDIANA,13,100.0,0,190,72.5,71.4,73.6,3,19,498,100.0,100.0,97.6,12,23,1,1086,0,0,1,1086,516,516,0,1085,570,0
Vi Teofilo,11397,G,ARIZONA ST,13,100.0,0,110,77.2,77.6,77.8,5,9,584,100.0,100.0,97.9,3,19,5,1085,0,0,0,1085,602,602,1085,0,483,0
Jake Reed,11054,C,INDIANA,13,100.0,1,190,82.2,79.6,83.1,0,9,498,100.0,100.0,98.9,6,10,1,1083,1083,0,0,1083,516,516,0,0,567,0
Nick Kelly,16773,C,ARIZONA ST,13,100.0,0,110,75.4,79.4,73.5,2,13,581,100.0,100.0,98.0,1,19,4,1081,1081,0,0,1081,598,598,0,0,483,0
