player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Oliver Bates,46063,T,SO MISS,7,100.0,0,296,57.2,52.7,62.7,3,2,128,100.0,100.0,95.7,3,8,3,236,0,0,11,236,134,134,0,201,102,24
Bo Wallace,12806,QB,OLE MISS,13,30.6,1,226,64.8,,60.5,0,0,0,0.0,0.0,,4,0,0,236,0,0,0,771,0,464,0,0,236,0
Devin Smith,9470,WR,OHIO STATE,15,47.2,0,260,80.7,,57.5,0,0,0,0.0,0.0,,0,0,0,236,0,0,0,500,0,264,0,0,236,1
Josh Reynolds,11872,WR,TEXAS A&M,13,34.3,0,312,65.3,,58.5,0,0,0,0.0,0.0,,0,0,0,236,0,0,0,688,0,452,0,0,236,0
Paul Turner,11082,WR,LA TECH,12,42.8,0,208,71.3,,72.4,0,0,0,0.0,0.0,,2,0,0,236,0,0,0,552,0,316,0,0,236,0
Evan Engram,11778,TE,OLE MISS,13,40.4,0,226,73.2,75.5,80.5,1,0,27,7.4,7.9,98.1,2,1,0,236,0,0,2,584,30,378,0,0,206,126
Josh Ruka,46186,G,N ILLINOIS,13,100.0,0,254,61.0,60.1,59.7,1,2,95,100.0,100.0,97.4,0,4,1,236,0,0,0,236,103,103,236,0,133,0
Laquon Treadwell,10657,WR,OLE MISS,9,42.3,1,226,75.2,,72.0,0,0,0,0.0,0.0,,3,0,0,235,0,0,0,556,0,319,0,0,235,1
Lucky Whitehead,9853,WR,FAU,12,38.7,0,165,76.8,,61.5,0,0,0,0.0,0.0,,0,0,0,235,0,0,0,607,0,351,0,0,235,1
Derek Dowrey,46612,G,PENN STATE,10,100.0,0,266,78.1,78.7,77.8,0,0,131,100.0,100.0,98.5,0,2,2,235,0,143,0,235,139,139,70,0,96,5
Malcolm Lewis,47949,WR,MIAMI FL,13,44.6,0,220,54.8,,67.3,0,0,0,0.0,0.0,,2,0,0,235,0,0,0,527,0,292,0,0,235,0
David Glidden,11293,WR,OKLA STATE,13,40.6,0,262,67.9,,50.6,0,0,0,0.0,0.0,,1,0,0,235,0,0,0,579,0,344,0,0,235,0
Ahmad Fulwood,12220,WR,FLORIDA,12,60.6,0,163,54.7,,66.8,0,0,0,0.0,0.0,,1,0,0,235,0,0,0,388,0,153,0,0,235,1
Jacob Hollister,12051,TE,WYOMING,12,59.0,0,351,67.5,69.6,58.7,0,1,41,20.5,21.1,96.3,0,2,1,233,0,0,0,395,43,204,0,0,190,328
