player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Chandler Miller,26727,C,TULSA,13,100.0,1,320,73.9,75.8,74.3,1,4,477,100.0,100.0,99.1,9,7,2,1104,1104,0,0,1104,504,504,0,0,600,0
Tyler Bowling,46047,G,TULSA,13,100.0,0,320,78.6,90.0,74.5,0,4,477,100.0,100.0,99.4,1,5,1,1104,0,1101,2,1104,504,504,0,1,600,0
Jay Guillermo,22262,C,CLEMSON,15,100.0,0,140,74.4,80.6,69.6,1,10,610,100.0,100.0,98.6,0,14,3,1083,1083,0,0,1083,648,648,0,0,435,0
Andre Dillard,29250,T,WASH STATE,13,100.0,0,341,82.9,93.8,76.7,4,14,725,100.0,100.0,97.8,13,25,7,1074,0,0,1074,1074,771,771,0,0,303,0
Eduardo Middleton,46652,G,WASH STATE,13,100.0,1,341,76.5,90.3,70.9,3,9,715,100.0,100.0,98.9,4,14,2,1059,0,0,0,1059,760,760,1016,43,299,0
Yosh Nijman,60822,T,VA TECH,14,100.0,0,337,71.0,80.3,61.8,1,13,513,100.0,100.0,97.9,0,18,4,1053,0,0,1041,1053,536,536,0,0,517,12
Jonathan McLaughlin,12018,T,VA TECH,14,100.0,2,337,69.3,80.0,65.0,2,9,511,100.0,100.0,98.3,5,14,3,1053,0,0,0,1053,534,534,0,1042,519,11
Baylen Brown,46182,G,TEXAS TECH,12,100.0,1,315,75.5,78.8,75.8,4,23,700,100.0,100.0,98.1,5,27,0,1051,0,722,151,1051,743,743,0,176,308,2
Kyle Fuller,11998,C,BAYLOR,13,100.0,1,118,66.3,84.5,67.5,2,4,508,100.0,100.0,99.2,16,7,1,1043,1043,0,0,1043,536,536,0,0,507,0
Riley Sorenson,21829,C,WASH STATE,13,100.0,0,341,72.6,80.0,76.1,5,22,707,100.0,100.0,97.8,11,29,2,1042,1042,0,0,1042,753,753,0,0,289,0
Chase Roullier,11954,C,WYOMING,14,100.0,0,351,83.2,82.9,81.9,1,7,458,100.0,100.0,99.1,1,8,0,1041,1039,0,0,1041,492,492,0,0,549,0
Zach Wallace,46359,T,WYOMING,14,100.0,0,351,64.7,68.0,60.1,5,24,457,100.0,100.0,96.2,1,32,3,1039,0,0,1039,1039,491,491,0,0,548,0
Gavin Rush,29617,G,WYOMING,14,100.0,1,351,60.6,54.0,61.7,5,21,457,100.0,100.0,97.2,4,26,0,1039,0,1039,0,1039,491,491,0,0,548,0
Tony Morales,45597,C,TEXAS TECH,12,100.0,0,315,62.6,71.2,56.9,4,25,693,100.0,100.0,97.9,8,29,0,1039,1039,0,0,1039,736,736,0,0,303,0
Kaden Jackson,46644,G,WYOMING,14,100.0,2,351,76.1,72.3,78.0,1,12,457,100.0,100.0,97.5,6,18,5,1039,0,0,0,1039,491,491,1039,0,548,0
Tim Lynott,26025,G,COLORADO,14,100.0,0,143,71.6,69.1,74.5,3,10,512,100.0,100.0,98.1,6,16,3,1035,0,0,0,1035,535,535,1035,0,500,0
Cole Madison,46953,T,WASH STATE,13,100.0,1,341,85.5,93.2,73.8,4,7,704,100.0,100.0,98.8,10,14,3,1033,0,0,0,1033,750,750,0,1032,283,0
Taylor Hearn,33068,G,CLEMSON,15,100.0,0,140,62.2,74.0,56.4,3,11,583,100.0,100.0,98.5,1,16,2,1033,0,1030,3,1033,620,620,0,0,413,0
Wes Rogers,39322,C,INDIANA,13,100.0,1,190,68.1,77.5,64.7,6,7,491,100.0,100.0,98.1,9,16,3,1029,1029,0,0,1029,512,512,0,0,517,0
Jake Pruehs,45577,C,OHIO,14,100.0,2,259,63.3,67.7,60.1,1,19,503,100.0,100.0,97.6,5,22,2,1029,1029,0,0,1029,540,540,0,0,489,0
Wes Martin,46087,G,INDIANA,13,100.0,1,190,74.0,83.2,70.3,4,8,491,100.0,100.0,98.4,3,14,2,1027,0,1025,0,1027,512,512,0,0,515,0
Josh Jones,26634,T,HOUSTON,13,100.0,1,182,66.2,73.1,58.0,4,18,600,100.0,100.0,97.2,3,28,6,1022,0,0,1022,1022,621,621,0,0,401,0
Augie Conte,46667,G,VA TECH,14,100.0,0,337,62.4,72.1,60.3,1,13,497,100.0,100.0,98.0,5,17,3,1020,0,0,0,1020,520,520,1020,0,500,0
Andrew Wylie,12333,T,E MICHIGAN,13,100.0,0,160,73.3,73.1,69.1,4,15,568,99.8,99.8,97.8,3,22,3,1020,0,0,8,1020,599,600,0,998,421,14
Jonah Williams,41651,T,ALABAMA,15,100.0,0,103,76.2,78.9,73.7,3,8,491,100.0,100.0,98.1,6,15,4,1019,0,0,4,1019,510,510,0,1014,509,1
Mitch Hyatt,46233,T,CLEMSON,15,100.0,1,140,74.7,70.5,76.7,5,23,547,100.0,100.0,97.4,10,28,0,1016,0,0,1015,1016,583,583,0,0,433,1
Bradley Bozeman,27934,C,ALABAMA,15,100.0,0,103,80.1,82.3,76.7,1,6,491,100.0,100.0,99.3,0,7,0,1015,1011,0,0,1015,510,510,4,0,505,0
Luke Juriga,29571,G,W MICHIGAN,14,100.0,1,347,79.7,79.6,81.1,2,7,426,100.0,100.0,98.7,6,10,1,1012,6,0,0,1012,444,444,1006,0,568,0
Chukwuma Okorafor,46302,T,W MICHIGAN,14,100.0,1,347,75.4,65.4,79.0,5,16,425,100.0,100.0,96.6,10,25,4,1009,0,0,1008,1009,443,443,0,0,566,1
Salesi Uhatafe,38924,G,UTAH,13,100.0,2,328,71.6,71.2,73.2,1,11,461,100.0,100.0,97.8,5,16,4,1009,0,0,0,1009,496,496,1009,0,513,0
Jackson Day,46126,G,W MICHIGAN,14,100.0,1,347,70.9,58.3,73.2,8,16,426,100.0,100.0,96.9,4,25,1,1008,0,1007,0,1008,443,443,0,1,565,0
John Keenoy,45568,C,W MICHIGAN,14,100.0,0,347,72.9,86.0,70.4,2,3,423,100.0,100.0,99.4,5,5,0,1006,1006,0,0,1006,441,441,0,0,565,0
Matt Pryor,46647,G,TCU,13,100.0,1,305,67.6,78.4,64.9,4,10,575,100.0,100.0,98.3,4,17,3,1005,0,1,0,1005,602,602,1003,0,403,0
Taylor Moton,11819,T,W MICHIGAN,14,99.9,1,347,83.8,82.4,81.1,2,7,425,99.8,99.8,98.9,5,9,0,1004,0,0,0,1005,443,444,0,990,561,15
Tommy Doles,46702,G,NWESTERN,13,100.0,0,256,73.4,71.0,74.9,4,22,539,100.0,100.0,97.2,4,28,2,1004,0,0,0,1004,565,565,931,73,439,0
Cameron Tom,12227,C,SO MISS,13,100.0,1,296,76.2,89.8,71.0,1,8,513,100.0,100.0,99.1,4,9,0,1003,1003,0,0,1003,540,540,0,0,463,0
Jimmy Leatiota,26267,G,E MICHIGAN,13,100.0,1,160,60.3,71.2,59.5,3,18,560,99.8,99.8,97.9,7,22,1,1003,0,0,0,1003,590,591,1003,0,413,0
Isaac Asiata,11919,G,UTAH,13,100.0,0,328,79.1,76.4,81.9,2,9,461,100.0,100.0,97.9,7,15,4,1003,0,1003,0,1003,496,496,0,0,507,0
Blake Hance,46301,T,NWESTERN,13,100.0,0,256,71.7,68.1,70.4,1,30,537,100.0,100.0,96.2,2,36,5,1002,0,0,1002,1002,563,563,0,0,439,0
Tyler Orlosky,12256,C,W VIRGINIA,13,100.0,0,343,76.9,90.6,70.2,1,3,460,100.0,100.0,99.6,1,4,0,998,998,0,0,998,483,483,0,0,515,0
Cam Robinson,11789,T,ALABAMA,15,100.0,0,103,77.6,84.7,77.3,2,10,483,100.0,100.0,98.6,11,13,1,996,0,0,996,996,501,501,0,0,495,0
Cole Gardner,46332,T,E MICHIGAN,13,99.9,2,160,70.5,58.0,73.9,5,28,550,99.6,99.7,96.8,7,34,1,992,0,0,968,993,579,581,0,0,413,24
Brad North,29604,C,NWESTERN,13,100.0,1,256,67.7,63.1,67.8,5,23,531,100.0,100.0,96.0,1,35,7,990,990,0,0,990,556,556,0,0,434,0
Eric Gallo,41666,C,VA TECH,14,100.0,0,337,62.1,83.3,52.7,1,3,481,100.0,100.0,99.2,1,6,2,988,988,0,0,988,502,502,0,0,486,0
Alex Kelley,21950,C,COLORADO,13,100.0,1,143,66.7,71.2,67.1,4,22,499,100.0,100.0,97.0,8,28,2,988,988,0,0,988,518,518,0,0,470,0
Logan Dietz,46303,T,BOWL GREEN,12,99.9,0,122,72.1,82.4,64.3,7,5,487,100.0,99.8,97.5,3,18,6,988,0,0,987,989,517,518,0,0,471,1
