player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Emil Ekiyor Jr.,81540,G,ALABAMA,13,100.0,0,103,75.3,70.5,76.0,4,8,452,100.0,100.0,98.2,1,14,2,885,0,1,0,885,478,478,884,0,407,0
Matt Lee,98544,C,UCF,10,100.0,2,323,58.6,62.7,62.6,3,9,453,100.0,100.0,98.0,13,15,3,883,883,0,0,883,485,485,0,0,398,0
Alex Leatherwood,58468,T,ALABAMA,13,100.0,0,103,80.7,73.4,85.4,4,9,448,100.0,100.0,97.9,9,16,3,867,0,0,862,867,474,474,0,0,393,5
Joe Sculthorpe,41846,G,NC STATE,12,100.0,0,248,68.7,51.3,74.4,2,22,447,100.0,100.0,96.6,3,27,3,864,15,505,0,864,481,481,344,0,383,0
Ryan Neuzil,41123,G,APP STATE,12,100.0,0,108,87.3,87.8,86.4,0,4,356,100.0,100.0,98.6,3,7,3,863,10,853,0,863,380,380,0,0,483,0
Colin Newell,59753,C,IOWA STATE,12,100.0,0,193,69.5,63.7,69.6,1,22,419,100.0,100.0,97.3,1,23,0,862,862,0,0,862,445,445,0,0,417,0
Grant Gibson,57005,C,NC STATE,12,100.0,2,248,78.5,80.8,80.1,2,11,443,100.0,100.0,98.3,7,14,1,858,858,0,0,858,477,477,0,0,381,0
Baer Hunter,44512,G,APP STATE,12,100.0,0,108,77.2,80.6,76.9,2,6,356,100.0,100.0,98.6,4,9,1,855,0,0,0,855,380,380,853,2,475,0
Noah Hannon,58480,C,APP STATE,12,100.0,1,108,78.5,76.3,79.8,0,4,356,100.0,100.0,99.2,12,5,1,855,853,0,0,855,380,380,2,0,475,0
Dylan Parham,60953,T,MEMPHIS,11,100.0,0,218,90.6,87.6,89.8,2,6,468,100.0,100.0,98.9,3,9,1,849,0,0,0,849,502,502,0,849,347,0
Sincere Haynesworth,97644,C,TULANE,12,100.0,1,319,71.4,67.9,71.5,0,3,387,100.0,100.0,99.1,4,5,2,849,849,0,0,849,414,414,0,0,435,0
Sean Foster,41948,T,IOWA STATE,12,100.0,1,193,58.0,73.8,50.4,1,11,418,100.0,100.0,97.6,5,16,4,847,0,0,847,847,444,444,0,0,403,0
Manuel Orona-Lopez,77414,C,MEMPHIS,11,100.0,1,218,54.6,62.0,52.3,0,7,468,100.0,100.0,99.0,6,8,1,847,847,0,0,847,502,502,0,0,345,0
Aaron Banks,59983,G,NOTRE DAME,12,100.0,0,258,81.3,80.8,82.1,3,7,435,100.0,100.0,98.9,2,10,0,847,0,827,19,847,461,461,0,0,386,0
Josh Sills,41748,T,OKLA STATE,11,100.0,0,262,77.2,69.6,78.4,4,5,390,100.0,100.0,98.1,3,12,3,841,0,343,114,841,417,417,0,384,424,0
Richard Gouraige,81635,G,FLORIDA,12,100.0,0,163,62.5,63.0,60.4,6,12,497,100.0,100.0,98.0,1,19,1,840,0,720,120,840,523,523,0,0,317,0
Derek Schweiger,59750,G,IOWA STATE,12,100.0,0,193,62.5,87.0,54.9,0,7,413,100.0,100.0,98.9,2,8,1,837,0,742,0,837,439,439,73,22,398,0
Robert Hainsey,59980,T,NOTRE DAME,12,100.0,0,258,89.6,80.3,88.0,2,13,435,100.0,100.0,97.8,0,17,2,836,0,0,0,836,462,462,0,835,374,0
Liam Eichenberg,41851,T,NOTRE DAME,12,100.0,0,258,89.9,83.8,90.1,1,14,428,100.0,100.0,98.2,4,15,0,834,0,0,833,834,455,455,0,0,379,0
Brett Heggie,41179,C,FLORIDA,12,100.0,0,163,70.4,77.6,65.6,1,6,496,100.0,100.0,99.3,2,7,0,833,833,0,0,833,522,522,0,0,311,0
Hunter Woodard,77544,G,OKLA STATE,11,100.0,0,262,76.6,83.5,75.1,1,6,386,100.0,100.0,98.6,3,9,2,831,0,10,0,831,413,413,821,0,418,0
Devery Hamilton,40636,T,DUKE,11,100.0,0,154,73.4,62.3,77.0,3,19,442,100.0,100.0,96.8,2,25,3,830,0,0,0,830,468,468,0,830,362,0
Deonte Brown,41457,G,ALABAMA,13,100.0,0,103,64.9,77.2,62.5,3,12,427,100.0,100.0,98.2,5,15,0,829,0,828,1,829,453,453,0,0,376,0
Ikem Ekwonu,98286,T,NC STATE,12,100.0,1,248,80.6,55.3,91.2,5,13,429,100.0,100.0,96.3,4,25,7,827,0,239,586,827,463,463,0,1,364,1
DJ Scaife Jr.,77378,G,MIAMI FL,11,100.0,1,220,61.3,70.3,58.7,5,9,435,100.0,100.0,97.7,4,17,3,827,0,0,0,827,472,472,819,3,355,3
Obinna Eze,59837,T,MEMPHIS,11,100.0,0,218,75.8,81.7,71.9,2,8,460,100.0,100.0,98.5,7,12,2,827,0,0,827,827,494,494,0,0,333,0
Ivory Scott,98699,G,ARK STATE,11,100.0,1,113,65.2,72.2,62.2,5,11,501,100.0,100.0,98.4,4,16,0,825,0,420,0,825,531,531,405,0,294,0
Logan Langemeier,108708,C,GA SOUTHRN,13,100.0,0,174,50.3,54.1,50.2,1,7,220,100.0,100.0,97.7,3,9,1,824,824,0,0,824,229,229,0,0,595,0
Isaac Ellis,77419,G,MEMPHIS,11,100.0,3,218,64.0,64.1,64.4,0,8,450,100.0,100.0,98.4,3,11,3,823,2,820,0,823,483,483,0,1,340,0
Corey Gaynor,59844,C,MIAMI FL,11,100.0,2,220,54.0,48.8,55.0,0,8,431,100.0,100.0,98.8,4,9,1,818,814,0,0,818,468,468,3,0,350,0
Wyatt Luebke,56526,T,ARK STATE,11,100.0,0,113,43.4,29.5,52.8,7,32,501,100.0,100.0,94.9,2,45,6,818,0,0,7,818,531,531,1,810,287,0
Jacob Monk,98058,G,DUKE,11,100.0,0,154,68.1,63.8,69.3,5,6,440,100.0,100.0,98.3,5,13,2,817,0,0,0,817,464,464,817,0,353,0
Reece Jordan,55554,C,TEXAS ST,12,100.0,0,314,56.4,54.0,55.5,3,15,465,100.0,100.0,97.6,2,20,2,817,816,0,0,817,504,504,0,0,313,0
Bryce Hargrove,41946,G,PITTSBURGH,11,100.0,0,268,67.8,82.1,62.2,2,7,479,100.0,100.0,98.6,5,11,2,817,0,815,0,817,512,512,0,0,305,0
Dalton Cooper,98482,T,TEXAS ST,12,99.9,0,314,69.3,73.1,64.5,6,14,464,99.8,99.8,97.6,4,21,1,816,0,0,790,817,503,504,0,0,313,9
Ben Brown,59869,C,OLE MISS,10,100.0,0,226,63.1,61.4,61.3,2,7,406,100.0,100.0,98.9,1,9,0,816,816,0,0,816,432,432,0,0,384,0
Nick Broeker,99084,T,OLE MISS,10,100.0,0,226,59.4,51.8,63.7,4,19,405,100.0,100.0,96.7,5,25,2,815,0,0,813,815,431,431,0,0,384,2
Royce Newman,41746,T,OLE MISS,10,99.9,0,226,68.9,64.2,71.1,5,18,404,99.8,99.8,96.7,5,25,2,814,0,0,1,815,430,431,0,813,384,0
Ahofitu Maka,100803,C,UTSA,11,100.0,0,331,53.3,44.0,53.9,3,9,403,100.0,100.0,98.3,1,13,1,814,738,0,0,814,430,430,76,0,384,0
Cade Stewart,41614,C,CLEMSON,12,100.0,2,140,64.9,65.1,65.7,4,11,465,100.0,100.0,98.0,5,17,2,814,812,0,0,814,491,491,0,2,323,0
Stone Forsythe,41795,T,FLORIDA,12,100.0,2,163,71.2,76.9,64.2,6,8,488,100.0,100.0,98.2,4,16,2,812,0,0,721,812,513,513,0,91,299,0
Casey Holman,77315,T,DUKE,11,100.0,0,154,58.8,48.9,60.8,8,22,426,100.0,100.0,95.3,3,35,5,810,0,0,809,810,451,451,0,0,359,0
Russell Baker,121957,T,TEXAS ST,12,100.0,0,314,62.6,71.2,59.7,1,16,461,100.0,100.0,97.5,6,20,3,808,0,34,0,808,500,500,122,621,308,14
Marcus McKethan,60811,G,N CAROLINA,12,100.0,1,245,64.0,74.6,59.7,0,7,416,100.0,100.0,98.9,4,8,1,808,0,0,0,808,444,444,795,13,364,0
Jimmy Morrissey,41626,C,PITTSBURGH,11,100.0,1,268,69.0,64.3,69.7,4,12,475,100.0,100.0,97.7,1,19,3,807,711,0,0,807,508,508,96,0,299,0
Grant Betts,81870,G,TROY,11,100.0,1,318,71.8,81.4,67.8,0,11,493,100.0,100.0,98.9,2,11,0,805,0,804,0,805,513,513,0,1,292,0
Dylan Bradshaw,41566,C,TROY,11,100.0,0,318,70.9,76.8,68.7,0,10,493,100.0,100.0,98.8,3,11,1,805,805,0,0,805,513,513,0,0,292,0
Jake Andrews,81868,G,TROY,11,100.0,0,318,79.7,84.6,79.7,2,4,493,100.0,100.0,99.2,3,7,1,804,0,0,0,804,513,513,804,0,291,0
Cole Schneider,55401,G,UCF,10,99.9,0,323,54.8,59.1,52.5,1,9,418,100.0,100.0,98.1,4,13,3,803,0,802,0,804,448,448,0,0,355,0
Aaron Dowdell,41586,G,GA SOUTHRN,13,100.0,2,174,75.3,68.9,74.9,2,6,216,100.0,100.0,97.7,5,9,1,802,0,794,0,802,225,225,0,0,577,7
Liam Shanahan,108697,C,LSU,10,100.0,0,211,68.2,75.6,65.3,1,9,473,100.0,100.0,98.7,4,11,1,801,801,0,0,801,489,489,0,0,312,0
Trey Carter,54494,G,COAST CAR,12,100.0,0,141,68.0,73.3,65.8,0,9,332,100.0,100.0,98.3,3,10,1,793,0,0,0,793,353,353,793,0,440,0
Willie Lampkin,122344,G,COAST CAR,12,100.0,0,141,75.1,78.1,73.4,2,6,332,100.0,100.0,98.5,3,9,1,793,0,793,0,793,353,353,0,0,440,0
Ry Schneider,41164,C,OKLA STATE,11,100.0,0,262,68.8,79.5,63.8,0,8,375,100.0,100.0,98.7,3,9,1,793,793,0,0,793,401,401,0,0,392,0
Austin Deculus,59821,T,LSU,10,100.0,0,211,67.3,68.9,64.1,7,11,468,100.0,100.0,97.2,2,22,4,792,0,0,0,792,484,484,0,792,308,0
Brian Ankerson,41827,C,S ALABAMA,11,100.0,1,288,47.2,38.5,48.8,4,17,423,100.0,100.0,96.8,5,24,3,791,791,0,0,791,446,446,0,0,345,0
