player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Dennis Wilburn,157314,C,TEXAS TECH,13,100.0,0,315,53.0,50.2,54.6,3,33,665,100.0,100.0,97.0,6,38,2,1107,1107,0,0,1107,687,687,0,0,420,0
Caleb Rogers,123157,T,TEXAS TECH,13,100.0,1,315,56.7,63.0,51.7,2,32,665,100.0,100.0,95.2,5,49,15,1107,0,0,1102,1107,687,687,0,2,420,0
Samuel Jackson,55403,G,UCF,14,100.0,0,323,68.2,82.5,64.4,1,10,510,100.0,100.0,98.3,3,14,3,1066,0,1066,0,1066,542,542,0,0,524,0
Lokahi Pauole,98548,G,UCF,14,100.0,0,323,69.4,85.1,64.1,3,7,508,100.0,100.0,99.0,1,10,0,1062,7,0,0,1062,540,540,1055,0,522,0
Matt Lee,98544,C,UCF,14,100.0,0,323,82.5,90.3,79.1,0,4,508,100.0,100.0,99.6,2,4,0,1059,1059,0,0,1059,539,539,0,0,520,0
Ed Montilus,77353,G,N CAROLINA,14,100.0,1,245,48.7,52.3,46.5,6,20,642,100.0,100.0,97.2,9,31,5,1054,0,1054,0,1054,669,669,0,0,385,0
Ryan Swoboda,77576,T,UCF,14,99.9,0,323,78.4,82.6,73.5,1,18,504,99.8,99.8,97.5,4,22,3,1054,0,0,0,1055,536,537,0,1048,518,5
Asim Richards,99674,T,N CAROLINA,14,100.0,0,245,64.4,75.5,53.1,2,15,640,100.0,100.0,98.2,3,20,3,1050,0,0,1049,1050,667,667,0,0,383,1
Corey Gaynor,59844,C,N CAROLINA,14,100.0,2,245,60.9,71.8,57.5,1,10,641,100.0,100.0,98.8,8,13,2,1050,1050,0,0,1050,668,668,0,0,382,0
Gunner Britton,81937,T,W KENTUCKY,14,100.0,0,346,78.6,84.0,70.0,2,5,651,100.0,100.0,99.0,4,10,3,1039,0,0,597,1039,683,683,0,439,356,1
Vincent Murphy,99046,G,W KENTUCKY,14,100.0,0,346,60.7,75.7,54.8,2,12,651,100.0,100.0,98.9,4,14,0,1039,0,0,0,1039,683,683,1039,0,356,0
Rusty Staats,81941,C,W KENTUCKY,14,100.0,1,346,70.4,82.2,63.4,1,7,651,100.0,100.0,99.2,3,9,1,1039,1039,0,0,1039,683,683,0,0,356,0
Vinny Sciury,130632,G,TOLEDO,14,100.0,2,316,66.1,61.8,67.8,0,20,543,100.0,100.0,97.8,9,22,2,1037,0,1037,0,1037,570,570,0,0,467,0
Ahofitu Maka,100803,C,UTSA,14,100.0,0,331,64.2,72.1,60.7,0,22,569,100.0,100.0,97.9,4,23,1,1035,1035,0,0,1035,600,600,0,0,435,0
Quantavious Leslie,123456,G,W KENTUCKY,14,100.0,1,346,63.5,82.7,56.5,2,10,642,100.0,100.0,98.9,8,13,1,1021,0,1021,0,1021,671,671,0,0,350,0
Steve Avila,77319,G,TCU,15,100.0,0,305,71.0,83.6,66.6,2,9,514,100.0,100.0,98.9,3,11,0,1020,7,1010,1,1020,540,540,1,0,480,1
Nick Rosi,77511,T,TOLEDO,14,100.0,1,316,76.1,77.8,75.5,1,13,536,100.0,100.0,98.5,5,15,1,1020,0,2,0,1020,562,562,327,691,458,0
Alan Ali,60053,C,TCU,15,100.0,0,305,65.9,69.6,62.6,3,19,511,100.0,100.0,97.5,2,24,2,1017,1017,0,0,1017,536,536,0,0,481,0
