year,team,team_canonical,team_abbr,record,wins,losses,ties,pf,pa,over,off,pass,pblk,recv,run,rblk,def,rdef,tack,prsh,cov,spec
2021,Arizona Cardinals,Arizona Cardinals,ARI,11-7,11,7,0,460,400,76.9,74.2,82.8,68.5,78.7,67.8,52.5,62.2,49.4,51.3,77.1,58.6,85.8
2021,Atlanta Falcons,Atlanta Falcons,ATL,7-10,7,10,0,313,459,69.2,74.3,72.1,52.4,76.5,60.2,79.9,48.8,43.1,44.1,52.3,51.5,82.8
2021,Baltimore Ravens,Baltimore Ravens,BAL,8-9,8,9,0,387,392,80.4,75.5,66.0,70.0,72.2,82.5,72.3,62.5,61.1,49.1,70.3,48.6,87.5
2021,Buffalo Bills,Buffalo Bills,BUF,12-7,12,7,0,566,348,89.1,81.1,81.1,69.4,79.4,92.4,58.7,72.1,55.5,57.9,75.6,84.1,88.3
2021,Carolina Panthers,Carolina Panthers,CAR,5-12,5,12,0,304,404,63.2,60.5,49.7,54.2,63.1,72.4,59.4,62.6,52.2,50.5,74.3,62.7,75.7
2021,Chicago Bears,Chicago Bears,CHI,6-11,6,11,0,311,407,68.9,70.2,61.6,66.9,69.5,82.5,63.4,52.2,37.1,53.0,73.3,57.5,90.6
2021,Cincinnati Bengals,Cincinnati Bengals,CIN,13-8,13,8,0,552,458,87.9,80.7,90.0,53.6,82.6,82.2,64.2,67.0,47.8,54.6,69.4,77.9,91.0
2021,Cleveland Browns,Cleveland Browns,CLE,8-9,8,9,0,349,371,86.5,77.5,61.4,70.4,68.8,89.9,85.6,75.3,54.4,58.2,78.4,90.6,90.5
2021,Dallas Cowboys,Dallas Cowboys,DAL,12-6,12,6,0,547,381,92.4,88.5,82.6,80.0,83.8,83.6,87.1,66.6,43.3,63.1,78.7,80.5,83.7
2021,Denver Broncos,Denver Broncos,DEN,7-10,7,10,0,335,322,75.5,75.7,68.7,71.6,74.2,85.2,67.2,57.9,51.6,56.3,61.6,60.1,79.0
2021,Detroit Lions,Detroit Lions,DET,3-13-1,3,13,1,325,467,62.3,69.2,59.6,65.5,71.5,71.7,66.8,44.6,36.6,32.7,64.8,35.8,80.8
2021,Green Bay Packers,Green Bay Packers,GNB,13-5,13,5,0,460,384,89.2,82.2,80.0,73.9,80.1,91.1,61.8,76.8,55.9,78.1,84.2,81.5,59.1
2021,Houston Texans,Houston Texans,HOU,4-13,4,13,0,280,452,55.6,61.6,55.9,59.5,71.6,60.0,48.1,48.3,44.8,43.4,72.3,32.0,71.9
2021,Indianapolis Colts,Indianapolis Colts,IND,9-8,9,8,0,451,365,84.5,75.6,66.7,59.3,70.8,89.2,78.7,73.5,71.8,63.5,71.2,68.9,90.9
2021,Jacksonville Jaguars,Jacksonville Jaguars,JAX,3-14,3,14,0,253,457,59.3,64.5,59.5,70.3,63.8,72.9,57.8,50.7,40.6,53.5,68.1,46.3,68.4
2021,Kansas City Chiefs,Kansas City Chiefs,KAN,14-6,14,6,0,588,448,89.8,82.3,74.9,75.9,78.5,77.2,86.2,69.7,53.3,69.1,70.6,81.4,90.7
2021,Las Vegas Raiders,Las Vegas Raiders,LVR,10-8,10,8,0,393,465,78.9,74.9,77.5,64.2,78.7,78.7,55.4,64.2,46.4,61.6,79.7,68.4,76.9
2021,Los Angeles Chargers,Los Angeles Chargers,LAC,9-8,9,8,0,474,459,80.3,80.7,85.7,67.5,76.2,73.5,75.6,60.9,50.8,48.5,74.1,62.1,68.6
2021,Los Angeles Rams,Los Angeles Rams,LAR,16-5,16,5,0,567,447,94.5,85.7,84.1,81.6,83.3,70.7,77.0,87.9,87.4,66.0,90.0,75.9,80.0
2021,Miami Dolphins,Miami Dolphins,MIA,9-8,9,8,0,341,373,75.8,67.8,71.2,52.1,73.9,64.7,53.8,74.0,66.9,49.4,73.4,76.5,81.5
2021,Minnesota Vikings,Minnesota Vikings,MIN,8-9,8,9,0,425,426,80.8,78.1,84.9,54.9,80.6,68.7,69.1,62.6,49.9,77.0,72.6,63.1,89.4
2021,New England Patriots,New England Patriots,NWE,10-8,10,8,0,479,350,92.2,85.8,80.2,71.2,80.0,91.1,79.8,72.2,60.3,76.7,68.6,85.2,90.6
2021,New Orleans Saints,New Orleans Saints,NOR,9-8,9,8,0,364,335,83.8,69.7,62.7,65.0,70.4,82.3,60.2,81.9,82.5,54.9,69.1,87.3,91.5
2021,New York Giants,New York Giants,NYG,4-13,4,13,0,258,416,60.4,60.5,53.0,53.3,63.5,65.1,64.2,58.7,47.1,76.1,64.7,62.6,65.0
2021,New York Jets,New York Jets,NYJ,4-13,4,13,0,310,504,63.0,68.7,56.2,64.8,65.7,82.1,74.1,46.1,38.0,64.0,68.8,37.9,91.1
2021,Philadelphia Eagles,Philadelphia Eagles,PHI,9-9,9,9,0,459,416,86.6,82.4,68.2,79.9,76.1,87.0,84.2,65.2,48.6,80.3,79.9,69.8,84.3
