year,team,team_canonical,team_abbr,record,wins,losses,ties,pf,pa,over,off,pass,pblk,recv,run,rblk,def,rdef,tack,prsh,cov,spec
2020,Arizona Cardinals,Arizona Cardinals,ARI,8-8,8,8,0,410,367,72.8,74.5,74.0,73.7,75.4,75.9,60.7,54.2,40.4,65.9,69.8,49.8,90.1
2020,Atlanta Falcons,Atlanta Falcons,ATL,4-12,4,12,0,396,414,77.6,76.4,83.4,62.4,78.3,61.2,64.1,61.7,58.7,58.2,71.3,54.7,71.3
2020,Baltimore Ravens,Baltimore Ravens,BAL,12-6,12,6,0,491,333,82.5,75.2,71.9,70.8,69.6,86.6,69.8,68.9,62.8,47.7,66.3,75.8,88.4
2020,Buffalo Bills,Buffalo Bills,BUF,15-4,15,4,0,569,440,91.3,86.5,87.7,73.7,87.0,81.6,69.6,63.9,42.5,50.7,78.8,68.5,87.9
2020,Carolina Panthers,Carolina Panthers,CAR,5-11,5,11,0,350,402,70.5,72.9,65.4,67.2,71.9,81.0,65.4,53.5,43.0,49.2,71.4,48.3,82.3
2020,Chicago Bears,Chicago Bears,CHI,8-9,8,9,0,381,391,84.4,73.5,63.7,59.4,75.2,81.0,69.5,73.7,71.2,63.6,83.0,63.4,90.2
2020,Cincinnati Bengals,Cincinnati Bengals,CIN,4-11-1,4,11,1,311,424,71.8,69.8,69.0,58.3,71.9,67.1,65.0,60.2,45.0,61.5,63.0,72.6,90.2
2020,Cleveland Browns,Cleveland Browns,CLE,12-6,12,6,0,473,478,89.5,87.8,85.2,84.3,78.6,85.8,82.7,63.0,59.5,61.0,73.0,53.1,87.4
2020,Dallas Cowboys,Dallas Cowboys,DAL,6-10,6,10,0,395,473,71.4,71.3,69.4,59.1,74.1,77.7,57.1,53.0,44.5,54.8,74.5,45.6,91.1
2020,Denver Broncos,Denver Broncos,DEN,5-11,5,11,0,323,446,73.2,66.8,55.9,62.5,69.2,82.9,58.0,73.5,69.8,62.2,75.4,70.3,51.0
2020,Detroit Lions,Detroit Lions,DET,5-11,5,11,0,377,519,70.2,77.5,75.0,71.9,78.2,66.7,70.3,42.7,39.9,31.4,70.3,28.7,90.4
2020,Green Bay Packers,Green Bay Packers,GNB,14-4,14,4,0,567,418,93.2,90.7,94.5,80.2,79.4,87.7,75.5,71.8,62.3,53.9,72.3,78.6,67.5
2020,Houston Texans,Houston Texans,HOU,4-12,4,12,0,384,464,75.5,82.5,90.9,72.1,81.9,74.6,59.3,46.8,36.1,47.8,66.3,41.1,84.8
2020,Indianapolis Colts,Indianapolis Colts,IND,11-6,11,6,0,475,389,90.5,82.5,76.9,72.2,77.1,86.9,79.2,70.1,65.6,72.9,70.7,73.4,91.4
2020,Jacksonville Jaguars,Jacksonville Jaguars,JAX,1-15,1,15,0,306,492,63.3,69.2,60.8,64.7,71.5,75.5,60.2,50.0,55.6,55.1,63.7,33.0,75.1
2020,Kansas City Chiefs,Kansas City Chiefs,KAN,16-3,16,3,0,542,434,88.9,86.7,90.0,70.3,85.3,85.6,71.0,62.4,51.6,50.4,67.2,67.6,71.8
2020,Las Vegas Raiders,Las Vegas Raiders,LVR,8-8,8,8,0,434,478,73.3,79.3,84.9,67.5,80.7,77.8,59.3,47.8,49.1,35.9,64.6,33.5,72.4
2020,Los Angeles Chargers,Los Angeles Chargers,LAC,7-9,7,9,0,384,426,75.0,71.6,77.6,54.5,78.3,75.7,46.5,65.7,63.3,58.1,72.9,59.4,78.8
2020,Los Angeles Rams,Los Angeles Rams,LAR,11-7,11,7,0,420,348,92.3,79.7,72.0,70.8,75.4,80.4,78.7,84.7,68.5,75.1,85.4,88.1,79.8
2020,Miami Dolphins,Miami Dolphins,MIA,10-6,10,6,0,404,338,77.2,72.9,68.7,64.1,76.5,77.1,56.2,65.3,65.5,44.1,72.2,54.2,69.1
2020,Minnesota Vikings,Minnesota Vikings,MIN,7-9,7,9,0,430,475,78.5,84.3,80.8,55.7,89.9,91.3,65.7,53.4,41.5,46.3,59.3,61.0,78.6
2020,New England Patriots,New England Patriots,NWE,7-9,7,9,0,326,353,79.5,76.2,64.9,67.7,70.6,83.0,76.2,63.3,55.5,74.5,67.2,64.1,87.4
