year,team,team_canonical,team_abbr,record,wins,losses,ties,pf,pa,over,off,pass,pblk,recv,run,rblk,def,rdef,tack,prsh,cov,spec
2020,New Orleans Saints,New Orleans Saints,NOR,13-5,13,5,0,523,376,90.8,79.8,69.7,70.0,78.0,86.8,74.3,76.5,80.7,66.1,80.9,61.5,90.0
2020,New York Giants,New York Giants,NYG,6-10,6,10,0,280,357,75.0,70.0,73.5,50.7,71.0,73.8,62.5,67.8,72.8,45.7,70.9,52.6,76.7
2020,New York Jets,New York Jets,NYJ,2-14,2,14,0,243,457,64.1,64.2,53.1,53.4,66.3,75.2,65.2,60.0,71.3,50.7,71.0,33.3,72.3
2020,Philadelphia Eagles,Philadelphia Eagles,PHI,4-11-1,4,11,1,334,418,70.5,67.3,58.4,67.5,65.6,75.0,67.4,63.6,59.2,40.2,85.4,47.4,90.8
2020,Pittsburgh Steelers,Pittsburgh Steelers,PIT,12-5,12,5,0,453,360,83.9,69.6,69.9,74.3,69.9,66.7,50.3,83.2,71.0,42.6,87.8,77.5,79.9
2020,San Francisco 49ers,San Francisco 49ers,SFO,6-10,6,10,0,376,390,85.9,78.8,61.1,60.4,82.1,80.0,81.0,71.4,66.7,72.6,63.6,81.4,77.6
2020,Seattle Seahawks,Seattle Seahawks,SEA,12-5,12,5,0,479,401,90.1,81.9,88.8,64.5,79.1,81.8,72.3,71.0,79.7,84.4,67.0,61.2,86.1
2020,Tampa Bay Buccaneers,Tampa Bay Buccaneers,TAM,15-5,15,5,0,615,433,92.9,86.3,92.0,67.9,81.6,83.8,71.0,75.9,66.4,49.1,77.9,82.4,66.7
2020,Tennessee Titans,Tennessee Titans,TEN,11-6,11,6,0,504,459,90.7,89.3,85.5,58.0,88.2,91.9,77.8,64.5,59.6,62.8,63.1,68.2,66.5
2020,Washington Football Team,Washington Commanders,WAS,7-10,7,10,0,358,360,82.6,72.5,64.9,77.7,66.6,77.1,71.5,77.1,70.1,74.9,81.1,77.3,82.4
