year,team,team_canonical,team_abbr,record,wins,losses,ties,pf,pa,over,off,pass,pblk,recv,run,rblk,def,rdef,tack,prsh,cov,spec
2022,Arizona Cardinals,Arizona Cardinals,ARI,4-13,4,13,0,340,449,65.8,63.1,58.4,71.6,65.1,75.3,47.1,60.8,50.0,53.4,67.4,66.0,90.0
2022,Atlanta Falcons,Atlanta Falcons,ATL,7-10,7,10,0,365,386,85.6,83.7,62.1,73.2,79.7,90.6,83.7,60.5,63.8,52.5,54.1,57.7,90.3
2022,Baltimore Ravens,Baltimore Ravens,BAL,10-8,10,8,0,367,339,89.1,76.9,63.1,80.2,68.5,86.9,77.2,78.0,73.7,60.6,73.1,78.8,85.0
2022,Buffalo Bills,Buffalo Bills,BUF,14-4,14,4,0,499,344,86.6,78.8,84.1,64.1,77.7,91.8,50.7,72.1,54.4,40.8,78.8,80.1,77.5
2022,Carolina Panthers,Carolina Panthers,CAR,7-10,7,10,0,347,374,72.9,67.8,58.6,72.8,67.8,83.6,56.0,65.6,68.7,47.8,68.2,54.2,90.1
2022,Chicago Bears,Chicago Bears,CHI,3-14,3,14,0,326,463,62.8,69.2,50.9,68.2,62.1,85.9,73.1,47.3,34.9,49.2,52.2,60.8,85.4
2022,Cincinnati Bengals,Cincinnati Bengals,CIN,14-5,14,5,0,489,372,88.6,80.2,91.0,56.1,80.5,87.4,56.2,75.7,65.4,81.0,70.8,84.3,76.4
2022,Cleveland Browns,Cleveland Browns,CLE,7-10,7,10,0,361,381,79.0,77.3,66.8,73.4,72.6,91.3,69.2,61.2,39.6,40.6,75.4,73.0,78.5
2022,Dallas Cowboys,Dallas Cowboys,DAL,13-6,13,6,0,510,375,85.5,75.2,64.9,69.6,75.8,88.2,62.9,75.2,60.7,83.2,84.4,79.7,90.0
2022,Denver Broncos,Denver Broncos,DEN,5-12,5,12,0,287,359,75.9,66.3,61.0,66.9,65.9,77.3,59.4,76.2,71.5,52.0,66.4,89.3,80.7
2022,Detroit Lions,Detroit Lions,DET,9-8,9,8,0,453,427,81.0,79.0,71.7,63.4,80.9,84.4,68.7,60.4,55.5,62.8,71.2,48.8,90.7
2022,Green Bay Packers,Green Bay Packers,GNB,8-9,8,9,0,370,371,81.2,76.1,76.9,77.6,70.3,91.2,55.9,67.4,53.1,57.7,71.5,77.7,71.0
2022,Houston Texans,Houston Texans,HOU,3-13-1,3,13,1,289,420,61.1,62.8,56.4,60.9,69.9,70.5,47.9,51.0,35.0,34.4,70.3,55.8,90.3
2022,Indianapolis Colts,Indianapolis Colts,IND,4-12-1,4,12,1,289,427,74.1,65.5,58.0,62.9,66.5,71.9,62.0,71.3,69.2,68.8,62.5,76.2,90.2
2022,Jacksonville Jaguars,Jacksonville Jaguars,JAX,10-9,10,9,0,455,407,80.6,71.8,73.8,72.8,70.5,89.5,47.0,71.8,70.3,35.7,76.5,62.2,78.3
2022,Kansas City Chiefs,Kansas City Chiefs,KAN,17-3,17,3,0,584,444,93.1,85.4,90.0,73.6,83.1,78.5,72.5,79.3,63.6,52.9,75.3,89.8,88.4
2022,Las Vegas Raiders,Las Vegas Raiders,LVR,6-11,6,11,0,395,418,79.8,76.4,65.4,73.0,79.3,90.9,57.9,62.2,58.2,41.1,69.4,53.5,74.7
2022,Los Angeles Chargers,Los Angeles Chargers,LAC,10-8,10,8,0,421,415,76.2,72.3,75.7,67.0,76.3,77.2,45.7,62.8,36.5,45.7,68.2,86.7,84.9
2022,Los Angeles Rams,Los Angeles Rams,LAR,5-12,5,12,0,307,384,80.0,68.5,58.6,62.0,74.3,74.5,57.3,77.4,87.0,88.0,67.1,66.5,66.2
2022,Miami Dolphins,Miami Dolphins,MIA,9-9,9,9,0,428,433,84.8,79.0,76.9,59.2,83.0,76.6,69.8,71.7,75.9,47.0,80.4,52.5,56.2
2022,Minnesota Vikings,Minnesota Vikings,MIN,13-5,13,5,0,448,458,92.4,81.5,77.3,66.6,82.0,78.9,74.5,81.1,85.4,85.5,75.2,71.3,75.9
2022,New England Patriots,New England Patriots,NWE,8-9,8,9,0,364,347,81.2,72.0,71.4,72.5,71.6,81.5,56.7,75.8,71.7,87.1,73.5,75.0,69.8
2022,New Orleans Saints,New Orleans Saints,NOR,7-10,7,10,0,330,345,82.4,73.9,80.9,61.7,75.8,83.1,53.0,71.7,65.6,47.4,67.0,78.1,90.2
