year,team,team_canonical,team_abbr,record,wins,losses,ties,pf,pa,over,off,pass,pblk,recv,run,rblk,def,rdef,tack,prsh,cov,spec
2024,Arizona Cardinals,Arizona Cardinals,ARI,8-9,8,9,0,400,379,84.9,81.0,77.9,75.8,78.3,90.2,66.6,64.8,64.5,43.9,59.0,66.1,81.5
2024,Atlanta Falcons,Atlanta Falcons,ATL,8-9,8,9,0,389,423,92.0,88.3,77.7,72.8,82.1,93.2,82.8,68.0,66.6,33.3,59.0,75.7,75.4
2024,Baltimore Ravens,Baltimore Ravens,BAL,13-6,13,6,0,571,402,93.5,91.6,93.3,73.2,88.2,94.5,65.0,75.4,75.1,64.5,71.0,76.4,62.3
2024,Buffalo Bills,Buffalo Bills,BUF,15-5,15,5,0,612,432,81.8,81.0,81.4,73.7,74.7,92.8,66.9,59.7,58.8,50.3,74.9,37.7,79.8
2024,Carolina Panthers,Carolina Panthers,CAR,5-12,5,12,0,341,534,62.4,72.2,74.2,69.4,63.2,81.8,73.1,44.6,37.4,43.3,51.9,50.1,63.4
2024,Chicago Bears,Chicago Bears,CHI,5-12,5,12,0,310,370,76.7,69.1,62.9,72.8,67.8,73.9,65.9,70.8,64.4,67.3,69.0,74.4,77.4
2024,Cincinnati Bengals,Cincinnati Bengals,CIN,9-8,9,8,0,472,434,83.7,78.6,92.9,56.2,80.3,72.4,50.7,66.1,66.1,43.2,64.2,61.3,90.9
2024,Cleveland Browns,Cleveland Browns,CLE,3-14,3,14,0,258,435,70.5,62.1,59.8,59.5,65.3,74.8,50.2,74.5,81.3,28.5,81.0,49.5,89.9
2024,Dallas Cowboys,Dallas Cowboys,DAL,7-10,7,10,0,350,468,72.7,66.5,64.1,62.1,69.4,60.7,63.7,62.9,48.0,43.9,79.1,62.1,78.5
2024,Denver Broncos,Denver Broncos,DEN,10-8,10,8,0,432,342,84.8,74.2,74.7,83.5,67.7,71.9,67.5,74.1,67.6,61.3,76.7,73.6,87.5
2024,Detroit Lions,Detroit Lions,DET,15-3,15,3,0,595,387,93.8,88.5,77.0,69.3,89.1,91.1,80.4,76.8,71.6,70.4,73.3,79.7,87.7
2024,Green Bay Packers,Green Bay Packers,GNB,11-7,11,7,0,470,360,83.7,78.9,74.1,79.6,75.2,92.1,60.9,70.5,59.6,68.5,68.3,83.9,58.5
2024,Houston Texans,Houston Texans,HOU,11-8,11,8,0,418,407,86.0,75.9,77.1,65.3,78.7,85.5,57.4,74.9,68.5,41.2,73.7,79.0,77.5
2024,Indianapolis Colts,Indianapolis Colts,IND,8-9,8,9,0,377,427,83.3,74.2,65.1,72.5,73.8,65.4,76.7,74.3,75.8,42.7,67.9,71.0,76.0
2024,Jacksonville Jaguars,Jacksonville Jaguars,JAX,4-13,4,13,0,320,435,74.7,70.4,69.8,66.7,71.0,77.0,57.2,63.1,64.1,59.4,65.1,55.4,89.0
