year,team,team_canonical,team_abbr,record,wins,losses,ties,pf,pa,over,off,pass,pblk,recv,run,rblk,def,rdef,tack,prsh,cov,spec
2024,Kansas City Chiefs,Kansas City Chiefs,KAN,17-3,17,3,0,462,409,90.3,77.8,76.0,68.6,75.3,82.0,71.9,79.4,73.4,75.9,75.7,82.1,90.0
2024,Las Vegas Raiders,Las Vegas Raiders,LVR,4-13,4,13,0,309,434,69.3,69.4,57.9,69.9,75.8,56.5,63.5,57.0,69.9,40.2,64.1,31.3,69.5
2024,Los Angeles Chargers,Los Angeles Chargers,LAC,11-7,11,7,0,414,333,89.9,77.5,90.3,71.7,73.7,69.6,61.6,78.5,73.3,49.4,71.1,87.8,78.8
2024,Los Angeles Rams,Los Angeles Rams,LAR,11-8,11,8,0,416,423,86.2,79.9,74.0,53.7,84.8,75.3,76.6,69.7,67.8,46.3,76.6,60.7,75.6
2024,Miami Dolphins,Miami Dolphins,MIA,8-9,8,9,0,345,364,74.9,69.4,65.5,66.1,72.7,80.5,56.0,67.8,73.7,28.5,67.7,55.6,58.7
2024,Minnesota Vikings,Minnesota Vikings,MIN,14-4,14,4,0,441,359,85.2,78.8,77.7,67.9,82.1,80.1,65.2,70.6,75.3,63.3,65.3,64.2,85.9
2024,New England Patriots,New England Patriots,NWE,4-13,4,13,0,289,417,68.3,63.1,68.2,52.2,66.8,80.3,45.6,64.4,58.2,75.4,62.1,68.8,90.5
2024,New Orleans Saints,New Orleans Saints,NOR,5-12,5,12,0,338,398,70.3,71.0,68.9,51.6,70.2,84.7,67.8,57.5,48.0,38.4,65.6,56.5,70.3
2024,New York Giants,New York Giants,NYG,3-14,3,14,0,273,415,68.7,64.4,58.5,57.6,67.1,75.0,59.7,66.9,64.2,48.9,76.3,52.9,75.6
2024,New York Jets,New York Jets,NYJ,5-12,5,12,0,338,404,76.1,74.5,77.2,68.9,71.1,78.4,67.4,64.0,58.6,42.5,66.5,69.8,76.4
2024,Philadelphia Eagles,Philadelphia Eagles,PHI,18-3,18,3,0,608,380,94.3,82.2,71.5,73.6,79.1,90.2,76.9,91.2,76.9,40.1,90.0,93.8,78.0
2024,Pittsburgh Steelers,Pittsburgh Steelers,PIT,10-8,10,8,0,394,375,87.0,74.8,75.9,61.6,73.5,80.9,68.7,77.7,71.1,65.3,90.5,57.4,83.8
2024,San Francisco 49ers,San Francisco 49ers,SFO,6-11,6,11,0,389,436,86.2,82.3,73.1,72.0,81.4,82.0,80.0,68.3,54.6,48.8,68.5,82.9,84.7
2024,Seattle Seahawks,Seattle Seahawks,SEA,10-7,10,7,0,375,368,85.5,76.8,79.7,60.1,79.0,90.4,58.6,69.8,65.5,63.9,70.3,70.3,88.4
2024,Tampa Bay Buccaneers,Tampa Bay Buccaneers,TAM,10-8,10,8,0,522,408,87.3,82.6,83.6,83.3,79.1,90.3,64.7,66.8,67.8,42.5,67.5,62.4,77.4
2024,Tennessee Titans,Tennessee Titans,TEN,3-14,3,14,0,311,460,67.0,62.4,57.0,60.1,70.8,72.7,46.6,67.5,72.6,56.6,62.1,61.3,69.8
2024,Washington Commanders,Washington Commanders,WAS,14-6,14,6,0,576,497,76.6,78.2,88.3,62.0,76.4,90.5,55.5,54.5,49.6,48.9,69.2,44.9,80.4
