player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Crews Law,190851,LB,MEMPHIS,9,56,0,218,0,,,55.6,,,0,0,,58.1,0,,100.0,1,0,0.0,0,10,17.9,18,0,0,0,0,0,0,0.0,,0,0,8.4,100.0,86.7,5.3,5.3,1,1,14.3,51.4,0,20,0.0,0,1,113.1,7,39,69.6,45,4,4,7,0,78,19,2.1,11.1
Ronnie Royal III,190870,S,NC STATE,11,256,0,248,3,6.9,85.7,95.3,9.3,8.0,0,1,14.3,60.5,0,18,20.0,2,0,98.8,6,61,23.8,64,0,5,7,0,54,25,1.0,9.0,0,1,12.9,72.2,98.3,13.0,9.4,0,0,0.0,48.1,1,42,6.7,1,0,90.0,13,178,69.5,181,2,13,18,0,220,72,1.3,16.9
Jack Trautmann,190895,ED,NWESTERN,3,1,0,256,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,4,0,0,0,0,0,0,,,0,0,,,12.5,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,8,0,0,0,0,0,0,0.0,
Koy Beasley,190900,S,MIAMI OH,12,374,0,221,0,8.7,45.5,100.0,19.8,9.0,0,3,27.3,76.7,1,14,0.0,0,3,54.2,5,107,28.6,107,1,1,11,2,31,11,0.3,6.2,0,1,5.7,54.5,100.0,37.8,20.6,0,0,0.0,65.1,0,19,26.7,4,0,90.3,6,232,62.0,232,1,10,11,1,24,11,0.1,4.0
Tarrion Grant,190903,CB,TEXAS TECH,3,20,0,315,0,,,100.0,,,0,0,,60.6,0,,,0,0,0.0,0,2,10.0,2,0,0,0,0,0,0,0.0,,0,0,18.0,33.3,100.0,8.0,2.7,0,1,33.3,56.0,0,38,0.0,0,1,81.9,1,9,45.0,9,0,1,3,0,38,3,4.8,38.0
Hudauri Hines,190908,CB,PURDUE,12,310,0,273,0,19.0,52.6,100.0,7.6,4.0,0,3,15.8,48.7,0,72,33.3,2,2,133.1,10,80,25.8,80,1,4,19,2,273,99,3.6,27.3,0,0,10.9,63.0,100.0,10.9,6.9,0,2,7.4,65.3,1,61,0.0,0,2,115.7,17,191,61.6,191,3,12,27,3,256,128,1.4,15.1
Earl Kulp,190916,CB,TEMPLE,6,17,0,306,1,,,100.0,,,0,0,,66.0,0,,0.0,0,0,0.0,0,7,41.2,7,0,0,0,0,0,0,0.0,,0,0,12.0,50.0,100.0,7.0,3.5,0,0,0.0,38.5,0,18,0.0,0,0,81.3,1,9,52.9,9,0,1,2,0,18,7,2.6,18.0
Jacob Cosby-Mosley,190944,S,WAKE,1,2,0,339,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,1,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,1,0,0,0,0,0,0,0.0,
Andrew Hines III,190951,LB,BOWL GREEN,8,98,0,122,0,,,56.3,,,0,0,,64.2,0,,100.0,1,0,0.0,0,18,18.4,32,1,0,0,0,0,0,0.0,,0,1,7.6,80.0,97.1,16.5,13.2,0,0,0.0,52.8,0,23,0.0,0,0,106.7,4,67,68.4,69,0,1,5,0,48,13,0.7,12.0
Whittman Whaley,190959,LB,WAKE,1,10,0,339,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,10.0,1,0,0,0,0,0,0,0.0,,0,0,,,87.5,,,0,0,,51.7,0,,100.0,1,0,0.0,0,7,70.0,8,0,0,0,0,0,0,0.0,
