player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Mason White,43872,S,OREGON ST,11,83,0,265,0,14.0,66.7,88.0,10.0,6.7,0,1,33.3,81.8,0,18,0.0,0,1,91.0,2,22,26.5,25,1,3,3,0,24,10,1.2,12.0,0,0,-5.0,100.0,98.1,48.0,48.0,0,1,100.0,75.9,0,1,0.0,0,1,79.2,1,53,63.9,54,0,5,1,0,1,6,0.0,1.0
James Camden,53418,LB,W MICHIGAN,12,222,0,347,0,11.0,100.0,82.1,39.0,39.0,0,0,0.0,76.7,0,18,0.0,0,0,158.3,1,46,20.7,56,1,2,1,1,18,7,0.5,18.0,0,2,2.3,72.7,75.0,15.4,11.2,0,0,0.0,69.2,0,23,16.7,2,0,87.7,8,132,59.5,176,8,8,11,0,66,50,0.5,8.3
Iesa Jarmon,53981,CB,AKRON,1,8,0,102,0,,,100.0,,,0,0,,62.2,0,,,0,0,0.0,0,2,25.0,2,0,0,0,0,0,0,0.0,,0,0,18.0,100.0,100.0,4.0,4.0,0,0,0.0,52.7,0,12,,0,0,156.3,1,4,50.0,4,0,0,1,1,12,0,3.0,12.0
Shaun Myers,62235,LB,COLORADO,10,95,0,143,1,3.8,100.0,60.3,10.5,10.5,0,0,0.0,51.4,0,33,0.0,0,0,158.3,4,44,46.3,73,0,1,4,2,57,42,1.4,14.3,0,2,5.7,57.1,97.9,11.3,6.4,0,1,14.3,85.4,0,8,16.7,1,1,62.2,4,47,49.5,48,2,3,7,0,3,3,0.1,0.8
Mister Williams,70521,LB,S DIEGO ST,12,267,0,284,0,5.0,25.0,67.2,39.0,9.8,0,1,25.0,56.7,0,0,0.0,0,1,39.6,1,43,16.1,64,0,1,4,0,0,7,0.0,0.0,0,0,3.1,71.4,94.0,12.8,9.1,0,1,4.8,52.9,0,35,25.0,2,0,112.8,15,203,76.0,216,4,6,21,1,178,128,0.9,11.9
Ben Florentine,70644,DI,WYOMING,12,3,0,351,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,115,0,1,0,0,0,0,,,0,0,,,1.1,,,0,0,,56.5,0,,50.0,1,0,0.0,0,1,33.3,95,3,1,0,0,0,0,0.0,
Korey Foreman,70831,ED,FRESNO ST,12,18,0,169,0,,,16.3,,,2,2,,75.4,0,,100.0,2,2,0.0,0,13,72.2,80,1,0,0,0,0,0,0.0,,0,0,11.7,66.7,4.6,2.5,1.7,0,0,0.0,46.6,0,17,100.0,2,0,103.5,2,5,27.8,108,3,0,3,0,33,10,6.6,16.5
Calvin Pitcher,70877,LB,UAB,12,88,0,321,1,9.3,66.7,65.5,9.5,6.3,0,1,33.3,59.7,0,14,0.0,0,1,125.0,2,19,21.6,29,1,0,3,1,20,8,1.1,10.0,0,1,4.2,80.0,86.6,14.0,11.2,0,0,0.0,43.2,0,65,62.5,5,0,118.8,4,58,65.9,67,0,2,5,0,95,94,1.7,23.8
Tate Romney,70946,LB,ARIZONA ST,10,46,0,110,0,9.0,0.0,63.6,,6.0,0,0,0.0,63.3,0,,,0,0,39.6,0,7,15.2,11,0,0,1,0,0,0,0.0,,0,1,7.6,80.0,92.1,8.8,7.0,0,1,20.0,48.5,0,30,33.3,1,1,156.3,4,35,76.1,38,0,1,5,1,60,31,1.7,15.0
Domani Jackson,71370,CB,ALABAMA,13,255,0,103,0,4.8,87.5,100.0,6.7,5.9,0,0,0.0,60.7,0,38,0.0,0,0,135.9,7,53,20.8,53,4,8,8,1,57,21,1.2,8.1,0,1,9.3,70.0,99.5,25.7,18.0,0,1,10.0,68.5,0,25,8.3,1,1,93.8,7,185,72.5,186,3,10,10,0,80,15,0.4,11.4
Aaron Smith,71596,CB,NEW MEXICO,1,13,0,241,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,7.7,1,0,0,0,0,0,0,0.0,,0,0,7.0,100.0,100.0,2.0,2.0,0,0,0.0,46.7,0,17,0.0,0,0,105.6,3,6,46.2,6,0,1,3,0,28,7,4.7,9.3
DJ Harvey,72089,CB,USC,7,74,0,326,1,12.0,62.5,100.0,6.0,3.8,0,1,12.5,47.2,0,75,40.0,2,1,145.8,5,32,43.2,32,0,2,8,1,129,57,4.3,25.8,0,0,11.8,50.0,100.0,18.0,9.0,0,0,0.0,57.1,0,20,0.0,0,0,70.8,2,38,51.4,38,0,1,4,0,26,2,0.7,13.0
Solomone Langi,72318,DI,S JOSE ST,11,1,0,285,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,8,0,0,0,0,0,0,,,0,0,,,1.9,,,0,0,,60.7,0,,0.0,0,0,0.0,0,1,100.0,52,1,1,0,0,0,0,0.0,
Raider Damuni,72338,S,BYU,10,191,0,128,1,18.8,20.0,100.0,62.0,12.4,0,0,0.0,73.7,0,33,0.0,0,0,54.6,1,65,34.0,65,0,0,5,0,33,37,0.5,33.0,0,2,8.9,70.0,94.2,13.7,9.6,0,0,0.0,59.0,1,20,0.0,0,0,52.1,7,97,50.8,103,3,8,10,0,75,29,0.8,10.7
Justin Flowe,72388,LB,UNLV,7,41,0,325,0,,,66.7,,,0,0,,62.8,0,,,0,0,0.0,0,14,34.1,21,0,0,0,0,0,0,0.0,,0,1,2.3,66.7,85.7,11.5,7.7,0,1,33.3,77.5,0,5,20.0,1,1,70.1,2,24,58.5,28,2,3,3,0,8,8,0.3,4.0
Ian Shewell,72474,DI,ARIZONA ST,2,1,0,110,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,,,11.1,,,0,0,,60.2,0,,0.0,0,0,0.0,0,1,100.0,9,0,1,0,0,0,0,0.0,
Jadon Pearson,72538,LB,FRESNO ST,12,337,0,169,3,-0.1,71.4,72.5,20.2,14.4,0,0,0.0,78.0,0,41,7.7,1,0,97.3,5,108,32.0,149,4,9,7,0,60,58,0.6,12.0,0,2,1.2,87.0,95.9,10.1,8.7,0,1,4.3,55.0,0,21,5.0,1,1,96.9,20,212,62.9,221,8,17,23,0,167,140,0.8,8.4
Marco Notarainni,73389,LB,BOISE ST,12,233,0,120,1,2.7,71.4,64.1,14.6,10.4,0,1,14.3,64.0,0,36,16.7,1,1,102.1,5,84,36.1,131,3,4,7,0,68,54,0.9,13.6,0,1,4.5,70.0,71.4,16.9,11.8,0,1,10.0,64.2,0,32,36.4,4,0,95.8,7,120,51.5,168,5,6,10,0,85,51,0.7,12.1
Trent Whalen,73609,LB,ARKANSAS,6,19,0,111,0,2.0,100.0,100.0,6.0,6.0,0,0,0.0,51.9,0,18,,0,0,118.8,1,7,36.8,7,0,0,1,0,18,16,3.0,18.0,0,0,4.5,100.0,90.9,2.5,2.5,0,0,0.0,59.0,0,20,0.0,0,0,116.7,4,10,52.6,11,2,5,4,0,48,30,4.8,12.0
Gio De Leon,73658,LB,BUFFALO,4,8,0,126,0,,,66.7,,,0,0,,60.4,0,,,0,0,0.0,0,2,25.0,3,0,0,0,0,0,0,0.0,,0,0,,,71.4,,,0,0,,63.5,0,,0.0,0,0,0.0,0,5,62.5,7,1,1,0,0,0,0,0.0,
Taariq Al-Uqdah,74119,LB,WASHINGTON,3,80,0,340,0,2.5,50.0,78.7,43.0,21.5,0,0,0.0,71.6,0,3,0.0,0,0,56.3,1,48,60.0,61,1,2,2,0,3,3,0.1,3.0,0,0,5.0,60.0,90.6,9.3,5.6,0,0,0.0,51.9,0,25,0.0,0,0,82.9,3,29,36.3,32,2,1,5,0,37,11,1.3,12.3
Ryan Quintanar,74152,LB,USC,2,4,0,326,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,,,60.0,,,0,0,,49.6,0,,,0,0,0.0,0,3,75.0,5,0,0,0,0,0,0,0.0,
Justin Sinclair,74258,S,HAWAII,7,64,0,180,0,11.0,50.0,100.0,15.0,7.5,0,0,0.0,58.9,0,7,0.0,0,0,58.3,1,16,25.0,16,0,1,2,0,7,1,0.5,7.0,0,1,13.6,60.0,100.0,11.3,6.8,0,0,0.0,45.2,0,13,20.0,1,0,80.4,3,38,59.4,38,0,3,5,0,34,7,1.0,11.3
Zion Branch,74395,S,GEORGIA,7,119,0,173,0,6.0,100.0,100.0,30.0,30.0,0,0,0.0,49.8,0,6,0.0,0,0,91.7,1,35,29.4,35,0,2,1,0,6,0,0.2,6.0,0,0,5.0,100.0,100.0,11.8,11.8,0,0,0.0,62.0,0,20,18.2,2,0,105.6,6,76,63.9,76,4,9,6,0,56,26,0.8,9.3
Jaymar Mundy,75041,CB,OHIO,5,34,0,259,0,,,100.0,,,0,0,,62.0,0,,,0,0,0.0,0,3,8.8,3,0,0,0,0,0,0,0.0,,0,0,18.8,60.0,100.0,9.0,5.4,0,0,0.0,48.9,0,42,0.0,0,0,143.8,3,28,82.4,28,0,2,5,1,63,9,2.3,21.0
Silas Walters,75263,S,MIAMI OH,10,363,0,221,1,14.9,46.2,97.5,8.8,4.0,0,3,11.5,59.6,0,23,10.0,1,2,98.4,12,116,32.0,119,1,8,26,3,121,21,1.2,10.1,0,4,9.2,64.5,94.6,10.4,6.7,1,2,6.5,68.5,2,19,16.0,4,2,67.5,20,212,58.4,224,5,17,31,1,207,70,1.0,10.4
Moroni Anae,81437,LB,UTAH,3,9,0,328,0,,,50.0,,,0,0,,62.5,0,,,0,0,0.0,0,6,66.7,12,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,55.6,0,,50.0,1,0,0.0,0,3,33.3,3,0,1,0,0,0,0,0.0,
Brendon Harris,83446,S,MIDDLE TN,12,201,0,224,1,-0.3,50.0,93.8,28.5,14.3,0,0,0.0,63.6,0,8,20.0,1,0,56.3,2,61,30.3,65,2,3,4,0,7,14,0.1,3.5,0,1,11.3,75.0,96.1,19.8,14.9,0,0,0.0,60.0,0,56,16.7,1,0,156.3,6,123,61.2,128,2,4,8,1,126,67,1.1,21.0
Jayden Dunlap,85725,CB,BYU,8,68,0,128,1,9.0,33.3,100.0,22.0,7.3,0,0,0.0,54.6,0,10,50.0,1,0,43.8,1,23,33.8,23,0,0,3,0,10,12,0.5,10.0,0,0,29.0,66.7,97.0,15.5,10.3,0,0,0.0,60.9,0,35,0.0,0,0,149.3,2,32,47.1,33,1,2,3,1,62,2,2.0,31.0
Gracen Halton,85774,DI,OKLAHOMA,13,3,0,261,0,,,1.6,,,0,0,,60.5,0,,100.0,1,0,0.0,0,1,33.3,63,0,0,0,0,0,0,0.0,,0,0,,,1.3,,,0,0,,58.7,0,,,0,0,0.0,0,2,66.7,157,3,0,0,0,0,0,0.0,
Kalib Perry,86267,LB,LOUISVILLE,12,166,0,210,0,18.0,0.0,63.9,,21.0,0,0,0.0,60.7,0,,0.0,0,0,39.6,0,23,13.9,36,1,1,1,0,0,0,0.0,,0,2,6.5,83.3,83.3,5.8,4.8,0,1,4.2,47.4,0,33,12.5,2,1,126.0,20,120,72.3,144,5,12,24,1,262,123,2.3,13.1
Blake Ruffin,86298,S,LOUISVILLE,4,22,0,210,1,,,100.0,,,0,0,,64.4,0,,0.0,0,0,0.0,0,6,27.3,6,0,0,0,0,0,0,0.0,,0,0,,,93.3,,,0,0,,69.3,0,,25.0,1,0,0.0,0,14,63.6,15,1,3,0,0,0,0,0.0,
Jalil Tucker,86578,CB,OREGON ST,11,270,0,265,1,15.5,66.7,100.0,8.2,5.5,0,3,20.0,52.8,1,61,33.3,3,1,113.9,10,90,33.3,90,2,5,15,2,160,64,2.0,16.0,0,1,18.0,60.7,100.0,8.6,5.2,0,2,7.1,56.5,0,38,20.0,2,0,121.7,17,151,55.9,151,2,7,28,2,304,87,2.1,17.9
Jackson Schulz,86773,S,KENTUCKY,4,11,0,202,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,1,,,100.0,,,0,0,,66.0,0,,0.0,0,0,0.0,0,8,72.7,8,0,0,0,0,0,0,0.0,
Ceyair Wright,86877,CB,NEBRASKA,12,295,0,238,1,13.1,42.1,98.4,14.8,6.2,0,3,15.8,58.9,0,26,25.0,1,2,59.8,8,126,42.7,128,0,2,19,0,103,80,0.9,12.9,0,2,3.1,73.7,96.7,10.0,7.4,0,2,10.5,65.2,0,45,33.3,5,1,110.9,14,146,49.5,151,3,8,19,1,136,125,1.0,9.7
David Reese,90079,ED,SYRACUSE,12,48,0,304,0,2.0,50.0,9.6,9.0,4.5,0,0,0.0,56.6,0,21,50.0,1,0,87.5,1,10,20.8,104,0,1,2,0,21,25,2.3,21.0,0,1,9.7,66.7,22.0,18.0,12.0,0,0,0.0,59.8,0,24,16.7,1,0,103.5,2,37,77.1,168,4,4,3,0,33,17,0.9,16.5
Chance Tucker,90524,CB,NOTRE DAME,4,14,0,258,0,12.0,50.0,100.0,4.5,2.3,0,0,0.0,36.0,0,6,,0,0,56.3,2,9,64.3,9,0,0,4,0,9,0,1.0,4.5,0,0,,,100.0,,,0,0,,63.1,0,,,0,0,0.0,0,5,35.7,5,0,0,0,0,0,0,0.0,
Ose Egbase,90529,ED,UNLV,12,3,0,325,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,65,1,0,0,0,0,0,,,0,1,,,2.7,,,0,0,,67.8,0,,0.0,0,0,0.0,0,3,100.0,110,1,1,0,0,0,0,0.0,
Tyrice Ivy Jr.,90783,S,OREGON ST,1,16,0,265,0,14.0,100.0,66.7,2.0,2.0,0,0,0.0,44.7,0,19,,0,0,158.3,1,2,12.5,3,0,0,1,1,19,5,9.5,19.0,0,1,2.5,100.0,100.0,6.0,6.0,0,0,0.0,67.6,0,7,0.0,0,0,89.6,2,12,75.0,12,0,1,2,0,11,6,0.9,5.5
Solomon Brown,97386,S,BUFFALO,12,335,0,126,1,7.1,46.2,98.8,12.7,5.8,1,3,23.1,72.4,1,13,11.1,1,3,66.0,6,83,24.8,84,3,7,13,2,56,27,0.7,9.3,0,2,14.1,77.8,98.5,27.0,21.0,0,1,11.1,64.7,0,43,6.7,1,0,110.2,7,194,57.9,197,4,12,9,0,94,21,0.5,13.4
Marvae Myers,97517,CB,MARSHALL,10,297,0,214,0,12.2,42.1,98.2,12.8,5.4,0,2,10.5,52.3,0,69,28.6,2,0,111.4,8,109,36.7,111,1,5,19,3,158,102,1.5,19.8,0,1,18.5,53.8,100.0,18.6,10.0,2,2,15.4,75.4,1,52,0.0,0,2,92.6,7,138,46.5,138,1,9,13,1,167,42,1.3,23.9
Jett Elad,97543,S,RUTGERS,12,341,0,278,4,7.0,87.5,86.4,18.6,16.3,0,0,0.0,68.3,1,24,16.7,3,0,107.8,7,140,41.1,162,1,11,8,1,79,38,0.6,11.3,0,0,13.8,83.3,100.0,30.0,25.0,0,1,16.7,68.1,1,62,30.8,4,1,79.2,5,156,45.7,156,0,9,6,0,105,47,0.7,21.0
Mohamed Toure,97751,LB,MIAMI FL,13,275,0,220,0,6.6,20.0,60.0,40.0,8.0,0,1,20.0,65.2,0,8,25.0,1,1,39.6,1,42,15.3,70,0,3,5,0,8,6,0.2,8.0,0,2,5.3,77.8,91.2,6.2,4.8,0,1,2.8,33.4,0,36,28.0,7,1,117.0,28,176,64.0,193,7,16,36,2,275,170,1.6,9.8
Zaylin Wood,97761,DI,VANDERBILT,12,6,0,333,0,,,7.0,,,0,0,,61.3,1,,0.0,0,0,0.0,0,5,83.3,71,0,1,0,0,0,0,0.0,,0,0,,,0.6,,,0,0,,57.2,0,,50.0,1,0,0.0,0,1,16.7,167,6,1,0,0,0,0,0.0,
Mark Davis,97886,CB,VANDERBILT,11,163,0,333,0,14.0,66.7,100.0,6.8,4.6,0,1,11.1,64.9,0,32,28.6,2,0,95.1,6,44,27.0,44,1,5,9,0,81,16,2.0,13.5,0,1,6.7,55.6,99.0,20.0,11.1,0,3,33.3,83.3,0,11,8.3,1,3,60.9,5,101,62.0,102,5,10,9,0,18,4,0.2,3.6
Shammond Cooper,97918,LB,AKRON,11,238,0,102,0,-1.0,100.0,78.7,34.0,34.0,0,0,0.0,54.4,0,4,0.0,0,0,122.9,1,37,15.5,47,1,1,1,1,4,5,0.1,4.0,0,0,2.9,76.0,91.0,8.7,6.6,0,0,0.0,53.3,0,38,16.7,2,0,102.3,19,172,72.3,189,6,10,25,0,221,169,1.3,11.6
Richie Hagarty,98121,ED,NWESTERN,8,9,0,256,0,,,15.0,,,0,0,,61.8,0,,,0,0,0.0,0,3,33.3,20,0,0,0,0,0,0,0.0,,0,0,9.0,100.0,8.6,6.0,6.0,0,0,0.0,51.7,0,10,0.0,0,0,108.3,1,6,66.7,70,0,2,1,0,10,1,1.7,10.0
Myles Farmer,98122,S,APP STATE,3,5,0,108,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,13.0,100.0,100.0,3.0,3.0,0,0,0.0,51.1,0,22,,0,0,118.8,1,4,80.0,4,0,0,1,0,22,9,7.3,22.0
Quindarius Dunnigan,98193,ED,MICH STATE,12,3,0,223,0,,,2.9,,,0,0,,60.5,0,,0.0,0,0,0.0,0,1,33.3,35,0,1,0,0,0,0,0.0,,0,2,5.0,100.0,1.9,2.0,2.0,0,0,0.0,65.2,0,6,33.3,1,0,91.7,1,2,66.7,107,2,0,1,0,6,1,3.0,6.0
Jalen Catalon,98867,S,MISSOURI,12,188,0,229,0,6.0,50.0,100.0,41.0,20.5,0,0,0.0,62.4,0,2,20.0,1,0,56.3,1,46,24.5,46,1,4,2,0,2,5,0.0,2.0,0,3,4.5,81.8,94.9,13.6,11.1,0,0,0.0,75.6,0,25,13.3,2,0,97.7,9,130,69.1,137,5,10,11,0,82,41,0.7,9.1
Isaiah Gibson Sr.,98952,DI,SO MISS,12,2,0,296,0,,,0.0,,,0,0,,60.0,0,,100.0,1,0,0.0,0,0,0.0,54,0,0,0,0,0,0,,,0,0,,,1.3,,,0,0,,57.8,0,,,0,0,0.0,0,2,100.0,151,0,0,0,0,0,0,0.0,
Brandon Mack II,99105,ED,HOUSTON,12,59,0,182,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,65,0,0,0,0,0,0,,,0,0,4.3,81.8,31.6,6.2,5.1,0,0,0.0,66.4,0,22,50.0,3,0,91.7,9,56,94.9,177,5,3,11,0,66,30,1.2,7.3
Will Jones II,99276,S,N TEXAS,12,324,0,251,0,9.6,27.3,98.0,30.3,8.3,1,1,9.1,66.5,0,10,0.0,0,1,39.6,3,97,29.9,99,2,5,11,0,23,14,0.3,7.7,0,1,9.4,80.0,93.5,20.9,16.7,0,0,0.0,65.9,1,42,11.8,2,0,76.7,8,174,53.7,186,5,14,10,0,119,47,0.7,14.9
Logan Wilson,99280,CB,CINCINNATI,11,301,0,138,0,19.1,60.0,100.0,8.0,4.8,0,2,20.0,52.4,0,69,0.0,0,1,137.5,6,50,16.6,50,0,2,10,1,174,46,3.6,29.0,0,3,7.1,54.5,100.0,16.1,8.8,1,3,13.6,75.3,0,25,20.0,4,3,71.0,12,203,67.4,203,4,13,22,0,124,36,0.6,10.3
Isheem Young,99281,S,MEMPHIS,5,50,0,218,0,4.0,0.0,100.0,,15.0,0,0,0.0,65.1,0,,,0,0,39.6,0,17,34.0,17,0,0,1,0,0,0,0.0,,0,0,5.0,100.0,96.2,24.0,24.0,0,0,0.0,61.9,0,15,50.0,1,0,118.8,1,25,50.0,26,0,1,1,0,15,10,0.6,15.0
Virdel Edwards II,99286,CB,HAWAII,11,268,0,180,0,14.0,75.0,100.0,18.0,13.5,0,0,0.0,72.0,0,19,0.0,0,0,84.4,3,56,20.9,56,1,5,4,0,19,5,0.4,6.3,0,0,16.4,83.3,100.0,15.9,13.3,1,1,8.3,65.7,0,52,11.1,1,1,118.8,10,173,64.6,173,3,8,12,0,187,58,1.2,18.7
Deshawn McCuin,99502,CB,S DIEGO ST,9,114,0,284,0,9.2,66.7,97.1,7.8,5.2,0,1,16.7,62.7,0,14,33.3,1,0,77.8,4,33,28.9,34,1,2,6,0,29,15,0.9,7.3,0,1,12.3,63.6,100.0,9.9,6.3,0,1,9.1,73.3,1,32,16.7,1,1,49.4,7,71,62.3,71,2,4,11,0,85,28,1.2,12.1
Nate Temple,99726,ED,PITTSBURGH,10,2,0,268,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,9,0,0,0,0,0,0,,,0,0,,,2.8,,,0,0,,53.6,0,,0.0,0,0,0.0,0,2,100.0,72,0,1,0,0,0,0,0.0,
Cecil Powell,99735,S,SM HOUSTON,11,274,0,281,0,8.1,36.4,90.2,21.8,7.9,0,2,18.2,81.9,0,11,10.0,1,1,44.9,4,92,33.6,102,2,9,11,0,20,27,0.2,5.0,0,2,3.0,77.8,86.4,8.1,6.3,1,2,11.1,68.9,0,30,5.9,1,1,113.4,14,121,44.2,140,6,14,18,1,122,101,1.1,8.7
Jordan Huff,99745,S,GA STATE,12,222,0,175,1,5.5,50.0,94.1,60.0,30.0,0,1,50.0,48.5,0,27,33.3,1,1,95.8,1,64,28.8,68,0,1,2,0,27,20,0.5,27.0,0,3,7.2,70.0,100.0,16.6,11.6,0,1,10.0,78.9,1,18,7.7,1,1,46.2,7,123,55.4,123,3,9,10,0,61,19,0.5,8.7
Antonio Clary,99757,S,VIRGINIA,9,100,0,335,1,10.0,75.0,100.0,11.7,8.8,0,0,0.0,66.8,2,18,0.0,0,0,52.1,3,35,35.0,35,0,1,4,0,26,12,0.7,8.7,0,1,6.0,100.0,97.8,21.0,21.0,0,0,0.0,60.9,0,19,0.0,0,0,118.8,2,44,44.0,45,0,3,2,0,34,22,0.8,17.0
Kenan Johnson,99761,CB,VIRGINIA,1,2,0,335,0,,,100.0,,,0,0,,61.9,0,,,0,0,0.0,0,2,100.0,2,0,0,0,0,0,0,0.0,,0,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,
Rico Watson III,99809,ED,USF,12,148,0,327,0,,,17.3,,,0,0,,63.4,0,,,0,0,0.0,0,9,6.1,52,0,0,0,0,0,0,0.0,,0,1,4.1,82.4,57.3,8.5,7.0,0,0,0.0,42.4,1,24,31.3,5,0,73.0,14,125,84.5,218,5,10,17,0,126,83,1.1,9.0
Ben Smiley,99845,ED,UCONN,10,12,0,146,0,-2.0,100.0,26.1,12.0,12.0,0,0,0.0,56.6,0,5,100.0,1,0,127.1,1,12,100.0,46,0,0,1,1,5,7,0.4,5.0,0,1,,,0.0,,,0,0,,61.1,0,,60.0,3,0,0.0,0,0,0.0,87,1,1,0,0,0,0,,
Blaine Spires,100324,ED,PITTSBURGH,8,5,0,268,0,,,14.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,20.0,7,0,0,0,0,0,0,0.0,,0,0,,,1.9,,,0,0,,61.1,0,,0.0,0,0,0.0,0,2,40.0,107,3,1,0,0,0,0,0.0,
Stephon Wright,100437,DI,UCONN,12,9,0,146,0,5.0,50.0,17.9,7.0,3.5,0,0,0.0,52.5,0,19,,0,0,122.9,1,7,77.8,39,0,0,2,1,19,7,2.7,19.0,0,0,,,1.2,,,0,0,,60.0,0,,100.0,1,0,0.0,0,1,11.1,85,1,0,0,0,0,0,0.0,
De'Jon Benton,100445,DI,HAWAII,11,2,0,180,1,,,3.6,,,0,0,,58.9,0,,50.0,2,0,0.0,0,2,100.0,56,1,1,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,33.3,1,0,0.0,0,0,0.0,191,6,2,0,0,0,0,,
Levani Damuni,100457,LB,UTAH,12,101,0,328,0,-4.7,66.7,73.0,31.0,20.7,0,0,0.0,68.9,0,10,0.0,0,0,81.3,2,65,64.4,89,2,3,3,0,17,25,0.3,8.5,0,0,8.3,50.0,58.0,14.5,7.3,0,0,0.0,51.6,0,11,0.0,0,0,61.5,2,29,28.7,50,0,2,4,0,17,13,0.6,8.5
Naki Fahina,101179,DI,UTAH ST,5,1,0,329,0,,,5.6,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,18,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,44,0,1,0,0,0,0,,
Javin Wright,101373,LB,NEBRASKA,11,232,0,238,0,3.4,50.0,76.4,18.8,9.4,0,0,0.0,69.1,0,9,14.3,1,0,95.8,4,81,34.9,106,5,6,8,1,18,20,0.2,4.5,0,3,4.3,57.1,97.7,10.5,6.0,0,1,4.8,68.6,1,20,10.0,2,1,50.1,12,129,55.6,132,6,15,21,0,102,59,0.8,8.5
Derik LeCaptain,101506,LB,MINNESOTA,2,3,0,225,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,2,0,0,0,0,0,0,,,0,0,,,75.0,,,0,0,,63.2,0,,0.0,0,0,0.0,0,3,100.0,4,1,1,0,0,0,0,0.0,
Tate Hallock,101668,S,W MICHIGAN,12,324,0,347,1,18.4,14.3,92.1,62.0,8.9,0,1,14.3,75.6,1,2,0.0,0,1,0.0,1,70,21.6,76,3,5,7,0,2,5,0.0,2.0,0,2,7.0,76.2,91.4,11.0,8.4,0,1,4.8,80.0,1,21,21.1,4,1,70.1,16,191,59.0,209,5,13,21,0,123,55,0.7,7.7
Marlon Jones,101808,CB,VANDERBILT,7,87,0,333,0,7.8,60.0,100.0,8.0,4.8,0,0,0.0,55.3,0,11,0.0,0,0,115.8,3,26,29.9,26,0,1,5,1,29,10,1.2,9.7,0,1,4.7,100.0,97.8,7.2,7.2,0,0,0.0,62.5,0,15,0.0,0,0,98.6,6,45,51.7,46,0,6,6,0,46,18,1.1,7.7
Brendan Harrington,102848,LB,GA SOUTHRN,12,349,0,174,2,-0.3,100.0,73.1,17.5,17.5,0,0,0.0,54.6,0,10,25.0,2,0,86.5,4,79,22.6,108,3,4,4,0,19,20,0.3,4.8,0,3,3.3,81.8,93.6,11.6,9.5,0,1,4.5,78.2,1,26,4.3,1,1,69.3,18,221,63.3,236,8,19,22,0,114,78,0.5,6.3
Logan Lutui,103655,ED,BYU,12,49,0,128,0,,,11.3,,,0,0,,62.4,0,,100.0,1,0,0.0,0,8,16.3,71,0,0,0,0,0,0,0.0,,0,2,9.0,50.0,33.6,9.0,4.5,1,2,25.0,76.4,1,18,16.7,1,2,19.3,4,36,73.5,107,3,3,8,0,29,13,0.8,7.3
Noah Holmes,104560,LB,E CAROLINA,8,27,0,156,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,78.6,,,0,0,,70.8,0,,0.0,0,0,0.0,0,22,81.5,28,1,1,0,0,0,0,0.0,
