player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_kick_return,grades_punt_return,grades_return,kickoff_attempts,kickoff_fair_catches,kickoff_long,kickoff_muffed_returns,kickoff_touchdowns,kickoff_yards,kickoff_ypa,penalties,punt_attempts,punt_fair_catches,punt_long,punt_muffed_returns,punt_touchdowns,punt_yards,punt_ypa,total_attempts
Mikey Bergeron,173092,S,KANSAS ST,12,0,199,59.9,,59.9,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,,1
Tre Spivey,173119,WR,ARIZONA,12,0,109,57.5,,57.3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Rex Van Wyhe,173123,LB,KANSAS ST,12,0,199,59.9,,59.9,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
Jordyn Bailey,173127,WR,TCU,6,0,305,57.6,,57.2,2,2,20,0,0,32,16.0,0,0,0,0,0,0,0,,2
Hudson Hooper,173138,LB,TCU,12,0,305,59.9,,59.9,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
Kylan Salter,173149,LB,COLORADO,10,0,143,61.8,,61.9,1,0,26,0,0,26,26.0,0,0,0,0,0,0,0,,1
DeAndre Moore Jr.,173164,WR,TEXAS,11,0,311,59.6,60.3,60.2,1,1,11,0,0,11,11.0,0,1,0,8,0,0,8,8.0,2
Colton Vasek,173168,ED,TEXAS,12,0,311,59.9,,59.9,1,0,11,0,0,11,11.0,0,0,0,0,0,0,0,,1
Ben Cutter,173173,LB,W VIRGINIA,12,0,343,59.9,,59.9,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,,1
Rodney Gallagher III,173178,WR,W VIRGINIA,12,0,343,57.7,65.8,61.2,0,3,0,0,0,0,,0,1,7,0,0,0,0,0.0,1
Landon Sides,173213,WR,N TEXAS,11,0,251,,63.8,62.4,0,0,0,0,0,0,,0,5,8,9,0,0,18,3.6,5
Drayden Dickmann,173233,WR,RICE,12,0,275,,64.4,62.9,0,0,0,0,0,0,,0,0,5,0,0,0,0,,0
James Falk,173236,TE,RICE,12,0,275,59.9,,59.9,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
Darrell Sweeting,173284,CB,MARSHALL,12,0,214,,57.7,56.7,0,0,0,0,0,0,,0,1,0,0,1,0,0,0.0,1
Jair Murphy,173306,CB,USF,12,1,327,,57.7,56.7,0,0,0,0,0,0,,2,1,0,0,1,0,0,0.0,1
Eli Potts,173309,WR,TULSA,12,0,320,60.0,,60.0,0,0,22,0,0,22,,0,0,0,0,0,0,0,,0
Kam Shanks,173347,WR,ARKANSAS,12,0,111,61.0,70.2,66.0,1,3,16,0,0,16,16.0,2,17,7,26,0,0,93,5.5,18
Terence Thomas,173360,CB,AKRON,11,0,102,59.1,66.6,63.3,2,0,26,0,0,49,24.5,0,1,8,3,0,0,3,3.0,3
Lavon Brown,173467,WR,COLO STATE,12,0,144,59.6,57.7,53.8,2,0,16,0,0,27,13.5,1,1,0,0,1,0,0,0.0,3
Drew Rodriguez,173485,LB,COLO STATE,12,0,144,58.0,,57.8,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,,1
Vince Brown II,173490,TE,MISSOURI,12,0,229,59.9,,59.9,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
Jaden Carrillo,173504,S,FRESNO ST,12,0,169,,60.5,60.7,0,0,0,0,0,0,,0,1,0,41,0,0,41,41.0,1
Anthony Evans III,173530,WR,MISS STATE,12,0,227,60.0,72.8,67.4,0,0,0,0,0,0,,0,11,22,43,0,0,134,12.2,11
Ja'Carree Kelly,173611,WR,DELAWARE,11,0,151,59.0,,58.9,6,2,28,0,0,135,22.5,0,0,0,0,0,0,0,,6
Kelby Valsin,173653,WR,TEXAS TECH,12,0,315,,60.5,60.7,0,0,0,0,0,0,,1,1,0,21,0,0,21,21.0,1
