player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_kick_return,grades_punt_return,grades_return,kickoff_attempts,kickoff_fair_catches,kickoff_long,kickoff_muffed_returns,kickoff_touchdowns,kickoff_yards,kickoff_ypa,penalties,punt_attempts,punt_fair_catches,punt_long,punt_muffed_returns,punt_touchdowns,punt_yards,punt_ypa,total_attempts
Jalen Hoffman,176255,TE,MICHIGAN,12,0,222,61.8,,61.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Jackson Grier,176322,WR,APP STATE,6,0,108,77.2,64.4,75.7,2,0,32,0,0,32,16.0,0,0,5,0,0,0,0,,2
Ty Stamey,176363,TE,TEXAS ST,11,0,314,59.9,,59.9,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
Ahmere Foster,176372,S,SO MISS,12,0,296,61.8,,61.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Ian Foster,176373,S,SO MISS,12,0,296,62.3,,62.8,1,0,32,0,0,32,32.0,0,0,0,0,0,0,0,,1
Jojo Johnson,176402,DI,OREGON ST,11,0,265,59.6,,59.5,0,2,0,0,0,0,,1,0,0,0,0,0,0,,0
David Wells Jr.,176410,WR,OREGON ST,11,0,265,52.3,60.0,51.7,12,4,28,0,0,237,19.8,0,0,0,0,0,0,0,,12
Devin McCuin,176494,WR,UTSA,11,0,331,60.0,57.3,61.4,0,0,0,0,0,0,,0,0,6,0,0,0,0,,0
Champ Hampton,176615,HB,STANFORD,12,0,300,61.8,,61.9,1,0,17,0,0,17,17.0,0,0,0,0,0,0,0,,1
Sedrick Irvin,176618,HB,STANFORD,12,0,300,59.0,,58.8,0,3,0,0,0,0,,0,0,0,0,0,0,0,,0
Dallen Bentley,176648,TE,UTAH,12,0,328,59.9,,59.9,1,0,10,0,0,10,10.0,0,0,0,0,0,0,0,,1
Smith Snowden,176662,CB,UTAH,12,0,328,53.8,,52.6,2,0,15,0,0,19,9.5,0,0,0,0,0,0,0,,2
Dijon Stanley,176663,HB,NEW MEX ST,11,0,242,64.5,,65.3,3,0,20,0,0,52,17.3,1,0,0,0,0,0,0,,3
Brandon Hills,176677,WR,AKRON,11,0,102,68.0,,68.6,28,0,43,0,0,660,23.6,0,0,0,0,0,0,0,,28
Avery Powell,177141,S,TEMPLE,12,0,306,58.8,,58.6,0,4,0,0,0,0,,0,0,0,0,0,0,0,,0
Kirby Vorhees,177229,HB,WASH STATE,12,0,341,59.4,,59.3,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
Griffin Wilde,177231,WR,NWESTERN,12,0,256,,62.5,61.7,0,0,0,0,0,0,,0,0,2,0,0,0,0,,0
E. Jai Mason,177868,WR,CHARLOTTE,11,0,136,58.7,,58.4,1,1,14,0,0,14,14.0,0,0,0,0,0,0,0,,1
Zion Booker,177939,WR,TULSA,8,0,320,,53.5,56.1,0,0,0,0,0,0,,0,8,17,13,3,0,39,4.9,8
Ronnel Johnson,178430,WR,MO STATE,12,0,230,57.1,66.7,61.2,3,0,26,0,0,63,21.0,0,4,5,6,0,0,10,2.5,7
Noah Jennings,178610,WR,CINCINNATI,12,0,138,59.9,,59.9,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,,1
Tylor Latham,182289,WR,AIR FORCE,10,0,101,58.4,,58.1,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
Chase Byrd,183193,WR,CLEMSON,4,0,140,60.0,53.3,53.8,0,0,0,0,0,0,,0,1,0,10,1,0,10,10.0,1
Bryant Wesco Jr.,183206,WR,CLEMSON,7,0,140,,52.3,55.3,0,0,0,0,0,0,,0,10,5,17,1,0,79,7.9,10
Isiah Canion,183213,WR,GA TECH,12,0,176,59.9,,59.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Chris Wheatley-Humphrey,183246,HB,MIAMI FL,8,0,220,59.1,,58.9,2,0,19,0,0,31,15.5,0,0,0,0,0,0,0,,2
Derrick McFall,183252,HB,SMU,12,0,287,54.8,,53.8,1,0,6,0,0,6,6.0,0,0,0,0,0,0,0,,1
Kameron Courtney,183285,WR,VIRGINIA,12,0,335,66.5,57.2,69.5,1,0,38,0,0,38,38.0,0,3,2,5,1,0,4,1.3,4
John Rogers,183291,TE,VIRGINIA,12,0,335,59.9,,59.9,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
BJ Gibson,183299,WR,FLORIDA ST,5,0,167,60.0,63.1,61.5,0,0,0,0,0,0,,0,0,2,0,0,0,0,,0
Lawayne McCoy,183307,WR,FLORIDA ST,10,0,167,,62.7,62.0,0,0,0,0,0,0,,0,1,1,32,0,0,32,32.0,1
Daniel Anderson,183323,ED,N CAROLINA,12,0,245,59.9,,59.9,1,0,1,0,0,1,1.0,0,0,0,0,0,0,0,,1
Davion Gause,183328,HB,N CAROLINA,12,0,245,59.9,,59.9,1,0,8,0,0,8,8.0,0,0,0,0,0,0,0,,1
Javarius Green,183330,WR,N CAROLINA,11,0,245,,67.7,64.9,0,0,0,0,0,0,,0,9,3,25,0,0,65,7.2,9
Jordan Shipp,183338,WR,N CAROLINA,12,0,245,59.9,,59.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Ryan Ward,183343,TE,W VIRGINIA,12,0,343,59.9,,59.9,1,0,12,0,0,12,12.0,0,0,0,0,0,0,0,,1
Jayden Scott,183347,HB,NC STATE,12,0,248,54.4,,53.9,11,3,38,0,0,237,21.5,0,0,0,0,0,0,0,,11
Terrell Anderson,183348,WR,NC STATE,12,0,248,,84.6,75.4,0,0,0,0,0,0,,0,6,9,15,0,0,27,4.5,6
Jaden Hart,183374,HB,SYRACUSE,11,0,304,54.0,,52.9,2,0,15,0,0,26,13.0,0,0,0,0,0,0,0,,2
Alvon Isaac,183442,HB,USF,12,0,327,53.6,68.3,56.7,9,4,40,0,0,207,23.0,0,6,3,41,1,0,118,19.7,15
Joshua Porter,183447,WR,USF,12,0,327,,68.6,65.3,0,0,0,0,0,0,,0,9,5,14,0,0,56,6.2,9
Elliott Brow,183453,WR,UTSA,8,0,331,63.2,50.0,55.9,2,1,21,0,0,21,10.5,0,6,6,40,2,0,54,9.0,8
Brandon Young Jr.,183483,TE,N TEXAS,12,0,251,59.4,,59.2,1,2,7,0,0,7,7.0,1,0,0,0,0,0,0,,1
Mario Sanders,183512,WR,ILLINOIS,3,0,187,58.4,,58.1,1,0,14,0,0,14,14.0,0,0,0,0,0,0,0,,1
Ca'Lil Valentine,183515,HB,ILLINOIS,12,0,187,50.5,,49.6,7,1,33,0,0,162,23.1,0,0,0,0,0,0,0,,7
Jacory Barney Jr.,183547,WR,NEBRASKA,12,0,238,62.6,80.3,71.9,9,1,40,0,0,207,23.0,0,22,8,57,1,0,280,12.7,31
Caleb Benning,183549,S,NEBRASKA,9,0,238,61.8,,61.9,1,0,25,0,0,25,25.0,0,0,0,0,0,0,0,,1
Isaiah McMorris,183571,WR,MO STATE,4,0,230,56.1,,55.3,2,0,32,0,0,48,24.0,0,0,0,0,0,0,0,,2
Carter Nelson,183573,TE,NEBRASKA,12,0,238,59.9,,59.9,1,0,5,0,0,5,5.0,1,0,0,0,0,0,0,,1
Kenneth Williams,183594,HB,NEBRASKA,11,0,238,80.1,,82.6,12,0,95,0,1,403,33.6,0,0,0,0,0,0,0,,12
Quinton Martin Jr.,183609,HB,PENN STATE,6,0,266,59.9,,59.9,1,0,19,0,0,19,19.0,0,0,0,0,0,0,0,,1
Rahshawn Clark,183634,CB,WASHINGTON,11,0,340,,64.5,63.0,0,0,0,0,0,0,,1,2,2,17,0,0,29,14.5,2
Decker DeGraaf,183635,TE,WASHINGTON,12,0,340,59.9,,59.9,1,0,10,0,0,10,10.0,0,0,0,0,0,0,0,,1
Adam Mohammed,183644,HB,WASHINGTON,12,0,340,64.3,,64.7,16,6,41,0,0,426,26.6,0,0,0,0,0,0,0,,16
Gideon Ituka,183661,HB,WISCONSIN,10,0,349,59.9,,59.9,1,0,8,0,0,8,8.0,0,0,0,0,0,0,0,,1
Jeremiah Smith,183710,WR,OHIO STATE,11,0,260,,53.1,54.9,0,0,0,0,0,0,,0,1,1,-6,1,0,-6,-6.0,1
Johno Price,183732,CB,ARIZONA,12,0,109,61.8,,61.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Rodney Bimage Jr.,183737,CB,ARIZONA ST,10,0,110,,60.3,60.4,0,0,0,0,0,0,,0,1,0,0,0,0,0,0.0,1
Zechariah Sample,183751,WR,ARIZONA ST,10,0,110,,69.7,66.0,0,0,0,0,0,0,,1,11,7,31,1,0,101,9.2,11
Sione Moa,183773,HB,BYU,3,0,128,58.0,,57.8,1,0,35,0,0,35,35.0,0,0,0,0,0,0,0,,1
Gavin Grover,183794,TE,CINCINNATI,12,0,138,59.2,,59.1,1,3,11,0,0,11,11.0,0,0,0,0,0,0,0,,1
Bredell Richardson,183851,WR,UCF,4,0,323,,62.2,61.5,0,0,0,0,0,0,,0,1,1,8,0,0,8,8.0,1
DeVon Rice,183902,HB,KANSAS ST,10,0,199,56.1,,55.4,3,0,24,0,0,67,22.3,0,0,0,0,0,0,0,,3
Omiri Wiggins,183950,HB,LA TECH,12,0,208,59.9,,59.9,1,0,9,0,0,9,9.0,0,0,0,0,0,0,0,,1
Henry Davis III,183975,DI,NEW MEX ST,12,0,242,59.9,,59.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Trace Meadows,183995,LB,UTEP,2,0,330,59.9,,59.9,1,0,2,0,0,2,2.0,0,0,0,0,0,0,0,,1
Wayne Harris,184076,WR,KENT STATE,12,0,201,,77.4,70.4,0,0,0,0,0,0,,0,16,9,59,1,1,215,13.4,16
Cole Mullins,184100,DI,NOTRE DAME,12,0,258,55.7,,54.8,2,0,13,0,0,23,11.5,0,0,0,0,0,0,0,,2
Aneyas Williams,184108,HB,NOTRE DAME,12,0,258,59.1,60.2,59.3,2,0,11,0,0,19,9.5,0,0,0,0,0,0,0,,2
Duncan Brune,184113,HB,OHIO,12,0,259,57.0,,56.5,2,1,20,0,0,37,18.5,1,0,0,0,0,0,0,,2
Blake Guffey,184117,WR,OHIO,12,0,259,61.8,,61.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Max Rodarte,184120,WR,OHIO,4,0,259,,64.5,62.9,0,0,0,0,0,0,,0,3,2,18,0,0,19,6.3,3
Tama Uiliata,184180,WR,HAWAII,12,0,180,56.8,72.8,66.1,0,0,0,0,0,0,,0,12,23,17,0,0,77,6.4,12
Tony Freeman,184219,WR,WASH STATE,12,0,341,,74.7,68.7,0,0,0,0,0,0,,0,23,17,58,3,0,385,16.7,23
Jordan Malau'ulu,184238,WR,FRESNO ST,12,0,169,60.2,73.8,67.6,6,0,26,0,0,123,20.5,0,19,22,54,2,0,118,6.2,25
KJ Flowe,184303,CB,JAMES MAD,11,0,197,61.8,,61.9,1,0,1,0,0,1,1.0,0,0,0,0,0,0,0,,1
Kevontay Wells,184328,ED,LA MONROE,12,0,209,57.5,,57.3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Kylen Evans,184353,WR,TEXAS ST,12,0,314,59.9,,59.9,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
Dylan Mann,184373,DI,TROY,5,0,318,57.5,,57.3,1,0,3,0,0,3,3.0,0,0,0,0,0,0,0,,1
Ahkhari Johnson,184387,CB,ARKANSAS,9,0,111,59.9,,59.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Braylen Russell,184393,HB,ARKANSAS,9,0,111,58.4,,58.1,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,,1
Bryce Cain,184396,WR,AUBURN,12,0,115,62.7,61.4,63.5,2,1,32,0,0,48,24.0,1,0,1,0,0,0,0,,2
Jadan Baugh,184417,HB,FLORIDA,12,0,163,61.3,62.4,62.1,5,0,36,0,0,82,16.4,0,1,0,6,0,0,6,6.0,6
Davhon Keys,184459,LB,LSU,12,0,211,61.8,,61.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Jelani Watkins,184469,WR,LSU,5,0,211,59.6,,59.5,2,0,21,0,0,35,17.5,0,0,0,0,0,0,0,,2
Parker Livingstone,184512,WR,TEXAS,12,0,311,47.2,,44.6,2,0,4,0,0,4,2.0,0,0,0,0,0,0,0,,2
Jordan Washington,184519,TE,TEXAS,12,0,311,59.9,,59.9,1,0,11,0,0,11,11.0,0,0,0,0,0,0,0,,1
Ryan Wingo,184520,WR,TEXAS,12,0,311,61.8,,61.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Dontae Carter,184523,S,VANDERBILT,12,0,333,59.9,,59.9,1,0,19,0,0,19,19.0,0,0,0,0,0,0,0,,1
Jaylen Mbakwe,184540,WR,ALABAMA,8,0,103,,62.4,61.6,0,0,0,0,0,0,,0,1,1,0,1,0,0,0.0,1
Sacovie White-Helton,184583,WR,GEORGIA,12,0,173,59.4,73.1,67.3,0,0,0,0,0,0,,0,5,4,19,0,0,57,11.4,5
Ivan Carreon,184591,WR,OKLAHOMA,11,0,261,61.8,,61.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Jacob Jordan,184597,WR,OKLAHOMA,13,0,261,57.8,,57.4,0,6,0,0,0,0,,1,0,0,0,0,0,0,,0
Hardley Gilmore IV,184632,WR,KENTUCKY,12,0,202,61.8,,61.9,1,0,26,0,0,26,26.0,0,0,0,0,0,0,0,,1
Jason Patterson,184636,HB,KENTUCKY,12,0,202,70.1,,72.1,4,1,22,0,0,57,14.3,0,0,0,0,0,0,0,,4
Ben Black III,184652,WR,RUTGERS,12,0,278,50.9,,50.5,6,27,29,0,0,125,20.8,1,0,0,0,0,0,0,,6
KJ Duff,184654,WR,RUTGERS,12,0,278,,61.4,61.0,0,0,0,0,0,0,,0,0,1,0,0,0,0,,0
Matt Ogunniyi,184663,TE,UMASS,5,0,216,59.6,,59.5,0,2,0,0,0,0,,0,0,0,0,0,0,0,,0
Brock Townsend,184677,HB,C MICHIGAN,12,0,134,61.3,,61.5,1,5,19,0,0,19,19.0,0,0,0,0,0,0,0,,1
Connie Hewitt II,184689,TE,LIBERTY,3,0,206,59.9,,59.9,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
Marcel Williams,184707,WR,AKRON,12,0,102,59.9,,59.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Brady Kluse,184714,WR,MEMPHIS,12,0,218,61.8,,61.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Mario Craver,184754,WR,TEXAS A&M,12,0,312,59.9,60.0,59.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Johnnie Daniels,184755,HB,MISS STATE,3,0,227,59.9,,59.9,1,0,13,0,0,13,13.0,0,0,0,0,0,0,0,,1
Izaiah Williams,184813,WR,TEXAS A&M,9,0,312,,29.8,39.3,0,0,0,0,0,0,,0,3,0,7,1,0,9,3.0,3
Keaton Roskop,184839,TE,IOWA STATE,12,0,193,59.9,,59.9,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
Roger Saleapaga II,184864,TE,OREGON,13,0,264,59.4,,59.2,3,0,11,0,0,11,3.7,0,0,0,0,0,0,0,,3
Boo Carter,184881,CB,TENNESSEE,9,0,307,,65.5,63.4,0,0,0,0,0,0,,0,11,12,40,3,0,145,13.2,11
Peyton Lewis,184885,HB,TENNESSEE,10,0,307,54.9,,54.4,6,8,31,0,0,128,21.3,0,0,0,0,0,0,0,,6
Braylon Staley,184893,WR,TENNESSEE,12,0,307,,29.5,38.2,0,0,0,0,0,0,,0,2,1,2,1,0,2,1.0,2
Cameron Dickey,184897,HB,TEXAS TECH,12,0,315,59.9,,59.9,1,0,9,0,0,9,9.0,0,0,0,0,0,0,0,,1
Micah Hudson,184902,WR,TEXAS TECH,12,0,315,60.9,,61.0,8,0,29,0,0,156,19.5,0,0,0,0,0,0,0,,8
Tyler Mason,184937,HB,VA TECH,5,0,337,59.9,,59.9,1,0,16,0,0,16,16.0,0,0,0,0,0,0,0,,1
Kaeden Singleton,185328,ED,DELAWARE,12,0,151,59.9,,59.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Rocco Conti,186412,FB,AIR FORCE,12,0,101,59.9,,59.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Tray Taylor,186494,WR,TROY,12,0,318,,53.1,54.9,0,0,0,0,0,0,,0,1,1,0,0,0,0,0.0,1
Eric Willis III,186718,WR,UTEP,11,0,330,57.1,62.7,60.3,2,0,25,0,0,48,24.0,0,15,12,23,2,0,85,5.7,17
Julien Laventure,186744,DI,AKRON,12,0,102,59.6,,59.5,1,1,5,0,0,5,5.0,0,0,0,0,0,0,0,,1
Miles Greer,187426,S,BUFFALO,12,0,126,31.5,,29.3,2,0,18,1,0,18,9.0,0,0,0,0,0,0,0,,2
Patrick Clacks III,188136,WR,BUFFALO,11,0,126,57.4,,56.9,2,0,26,0,0,48,24.0,0,0,0,0,0,0,0,,2
Will Clark,188137,ED,BUFFALO,8,0,126,59.0,,58.8,0,6,0,0,0,0,,0,0,0,0,0,0,0,,0
John Keough,188146,S,BUFFALO,12,0,126,59.4,,59.3,1,0,24,0,0,24,24.0,0,0,0,0,0,0,0,,1
Terrance Shelton Jr.,188159,HB,BUFFALO,9,0,126,72.4,,73.8,17,4,40,0,0,391,23.0,0,0,0,0,0,0,0,,17
Terrence Smith Jr.,188214,WR,UCONN,12,0,146,57.7,,57.4,11,0,26,0,0,234,21.3,0,0,0,0,0,0,0,,11
Brodyn Bishop,188219,S,KENT STATE,12,0,201,58.0,,57.8,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,,1
Da'Shawn Martin,188233,WR,KENT STATE,11,0,201,43.0,,39.6,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Cade Wolford,188243,WR,KENT STATE,12,0,201,59.1,,58.9,5,0,19,0,0,57,11.4,0,0,0,0,0,0,0,,5
Josiah McLaurin,188257,HB,MARYLAND,4,0,215,58.8,60.3,59.4,4,0,18,0,0,62,15.5,0,5,2,9,1,0,28,5.6,9
Jermaine Agee,188269,S,MIAMI OH,11,0,221,61.8,,61.9,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,,1
Rayshawn Glover,188297,WR,UTAH,10,0,328,54.1,77.4,62.8,4,2,18,0,0,62,15.5,0,6,8,51,0,0,81,13.5,10
Zacharyus Williams,188305,WR,USC,4,0,326,,63.1,62.1,0,0,0,0,0,0,,0,0,3,0,0,0,0,,0
Wondame Davis Jr.,188310,WR,UTEP,11,0,330,55.1,,54.2,4,2,20,0,0,59,14.8,0,0,0,0,0,0,0,,4
Ezra Burgess,188333,TE,ARK STATE,11,0,113,59.9,,59.9,0,1,0,0,0,0,,1,0,0,0,0,0,0,,0
Bryce Baker,188370,HB,GA SOUTHRN,12,0,174,59.9,,59.9,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
Phillip Gladney,188376,CB,GA SOUTHRN,11,0,174,61.8,,61.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Taeo Todd,188385,HB,GA SOUTHRN,9,0,174,59.0,,58.8,3,0,18,0,0,49,16.3,0,0,0,0,0,0,0,,3
Sitani Mikaele,188400,HB,HAWAII,11,0,180,,61.6,61.1,0,0,0,0,0,0,,0,0,1,0,0,0,0,,0
Elijah Porter,188428,HB,N ILLINOIS,12,0,254,58.8,,58.6,4,0,24,0,0,89,22.3,0,0,0,0,0,0,0,,4
Dev'ion Reynolds,188430,CB,N ILLINOIS,12,0,254,66.9,,67.5,16,1,96,0,1,403,25.2,0,0,0,0,0,0,0,,16
Romelo Ware,188442,HB,N ILLINOIS,2,0,254,59.9,,59.9,1,0,6,0,0,6,6.0,0,0,0,0,0,0,0,,1
Tristen Brown,188507,WR,VANDERBILT,12,0,333,,60.3,60.4,0,0,0,0,0,0,,0,1,0,6,0,0,6,6.0,1
Jamison Curtis,188512,LB,VANDERBILT,7,0,333,61.8,,61.9,1,0,1,0,0,1,1.0,0,0,0,0,0,0,0,,1
Bryce Noernberg,188689,WR,KANSAS ST,8,0,199,65.4,,66.1,16,0,99,1,1,464,29.0,0,0,0,0,0,0,0,,16
JB Price,188691,HB,KANSAS ST,8,0,199,63.0,,63.6,2,0,26,0,0,46,23.0,0,0,0,0,0,0,0,,2
Koi Perich,188710,S,MINNESOTA,12,0,225,74.9,57.4,69.7,19,4,93,1,0,495,26.1,0,18,15,21,1,0,114,6.3,37
Cameron Flowers,188745,WR,W KENTUCKY,12,0,346,54.6,,54.0,9,7,40,1,0,164,18.2,0,0,0,0,0,0,0,,9
Mysonne Pollard,188762,S,DELAWARE,12,0,151,74.0,,75.8,12,1,51,0,0,332,27.7,0,0,0,0,0,0,0,,12
Jaylen Thomas,188849,CB,S JOSE ST,12,0,285,,68.1,64.8,0,0,0,0,0,0,,0,7,22,13,0,0,50,7.1,7
Chris Davis Jr.,188861,HB,STANFORD,2,0,300,57.7,,57.2,1,1,16,0,0,16,16.0,0,0,0,0,0,0,0,,1
Chase Farrell,188864,WR,NWESTERN,8,0,256,57.4,29.2,41.5,2,0,26,0,0,47,23.5,0,1,1,0,1,0,0,0.0,3
Cole Tabb,188876,HB,STANFORD,11,0,300,58.7,,58.4,5,1,19,0,0,66,13.2,0,0,0,0,0,0,0,,5
Brennan Ridley,189014,WR,BOWL GREEN,11,0,122,,61.9,61.1,0,0,0,0,0,0,,0,17,8,25,0,0,101,5.9,17
Christian Bentancur,189360,TE,CLEMSON,12,0,140,59.9,,59.9,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
Jayden Moore,189388,WR,DUKE,12,0,154,65.7,,66.9,3,1,37,0,0,76,25.3,0,0,0,0,0,0,0,,3
Luke Harpring,189418,TE,GA TECH,12,0,176,59.9,,59.9,1,0,6,0,0,6,6.0,0,0,0,0,0,0,0,,1
Phillip Hamilton,189490,S,NAVY,12,0,237,61.8,,61.9,1,0,0,0,0,0,0.0,2,0,0,0,0,0,0,,1
Charles Robinson,189515,FB,NAVY,12,0,237,,60.5,60.7,0,0,0,0,0,0,,0,1,0,13,0,0,13,13.0,1
Malachi Thomas,189541,TE,PITTSBURGH,12,0,268,59.6,,59.5,0,2,0,0,0,0,,0,0,0,0,0,0,0,,0
Colin O'Carroll,189583,T,TULANE,13,0,319,59.9,,59.9,1,0,10,0,0,10,10.0,0,0,0,0,0,0,0,,1
Jeremiah Patterson,189627,WR,ARIZONA,5,0,109,60.0,51.4,54.5,0,0,0,0,0,0,,0,8,8,41,1,0,78,9.8,8
Cody Hagen,189644,WR,BYU,11,0,128,59.9,,59.9,18,1,44,0,0,417,23.2,0,0,0,0,0,0,0,,18
Preston Ries,189693,LB,IOWA,12,1,192,59.9,,59.9,0,1,0,0,0,0,,1,0,0,0,0,0,0,,0
Derek Weisskopf,189697,LB,IOWA,11,0,192,51.6,,50.8,1,0,11,0,0,11,11.0,0,0,0,0,0,0,0,,1
Mekhi Nelson,189704,HB,NEBRASKA,11,0,238,59.9,,59.9,1,0,12,0,0,12,12.0,1,0,0,0,0,0,0,,1
Jayvin Norman,189775,HB,E MICHIGAN,11,0,160,65.3,,65.6,23,9,39,0,0,451,19.6,1,0,0,0,0,0,0,,23
Devonte Lyons,189778,HB,FIU,12,0,166,59.1,,58.9,1,1,13,0,0,13,13.0,0,0,0,0,0,0,0,,1
Khristian Lando,189795,HB,JVILLE ST,12,0,196,57.5,,57.3,1,0,16,0,0,16,16.0,0,0,0,0,0,0,0,,1
Jalen Likely,189796,HB,JVILLE ST,10,0,196,53.5,,52.3,2,2,14,1,0,14,7.0,0,0,0,0,0,0,0,,2
Fredrick Robertson,189826,HB,LA TECH,4,0,208,60.6,,60.7,4,0,41,0,0,81,20.3,0,0,0,0,0,0,0,,4
Abdul Muhammad,189845,CB,MIDDLE TN,12,0,224,,60.3,60.4,0,0,0,0,0,0,,0,1,0,4,0,0,4,4.0,1
TJ Pride,189866,WR,NEW MEX ST,12,0,242,,55.4,57.2,0,0,0,0,0,0,,0,10,12,15,1,0,40,4.0,10
Matt Jeffery,189878,WR,NOTRE DAME,12,0,258,61.8,,61.9,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,,1
Brandon Rehmann,189939,WR,DELAWARE,10,0,151,38.4,,34.8,6,0,35,1,0,115,19.2,0,0,0,0,0,0,0,,6
Na'eem Abdul-Rahim Gladding,190053,WR,DOMINION,12,0,263,,71.8,67.6,0,0,0,0,0,0,,0,4,2,22,0,0,33,8.3,4
Dirrick Goodman,190063,CB,DOMINION,12,0,263,61.8,,61.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Quinn Henicle,190064,QB,DOMINION,8,0,263,,30.2,36.4,0,0,0,0,0,0,,0,1,0,0,1,0,0,0.0,1
Maurki James,190066,HB,DOMINION,10,0,263,57.0,,56.7,9,1,28,0,0,154,17.1,0,0,0,0,0,0,0,,9
Kyle Miller,190068,WR,UCLA,7,0,324,59.4,,59.2,3,0,18,0,0,48,16.0,0,0,0,0,0,0,0,,3
Tice Williams,190116,S,TEXAS ST,8,0,314,59.9,,59.9,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,,1
Charlie Comella,190184,CB,BOSTON COL,12,0,121,,71.3,67.0,0,0,0,0,0,0,,0,4,5,24,0,0,30,7.5,4
Mekhi Anderson,190253,WR,UTSA,9,0,331,53.8,,53.2,6,5,27,0,0,130,21.7,0,0,0,0,0,0,0,,6
Will Henderson III,190255,HB,UTSA,12,0,331,56.2,,55.5,2,0,17,0,0,33,16.5,0,0,0,0,0,0,0,,2
Chris Barnes,190363,WR,WAKE,11,0,339,64.1,62.2,64.9,7,1,98,0,1,264,37.7,0,0,2,0,0,0,0,,7
Khamani Alexander,190388,HB,APP STATE,12,0,108,53.5,,52.9,19,0,28,0,0,389,20.5,0,0,0,0,0,0,0,,19
Miles Parker,190421,TE,E CAROLINA,11,0,156,59.9,,59.9,1,0,12,0,0,12,12.0,1,0,0,0,0,0,0,,1
Elijah Brody,190457,ED,NEW MEXICO,11,0,241,59.9,,59.9,0,1,0,0,0,0,,1,0,0,0,0,0,0,,0
Aden Self,190543,FB,ARMY,12,0,114,,60.3,60.4,0,0,0,0,0,0,,0,1,0,0,0,0,0,0.0,1
Amaree Williams,190580,ED,FLORIDA ST,12,0,167,59.9,,59.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Victor Aderungboye,190599,TE,N TEXAS,12,0,251,63.5,,64.2,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,2
Miles Coleman,190604,WR,N TEXAS,10,0,251,58.3,57.5,57.8,3,0,8,0,0,16,5.3,0,7,10,14,1,0,42,6.0,10
Quinton Hammonds,190613,S,N TEXAS,11,0,251,61.8,,61.9,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,,1
Baron Tipton,190627,WR,N TEXAS,12,0,251,63.0,,63.6,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Tyree Alualu,190653,LB,TEMPLE,11,0,306,59.6,,59.5,0,2,0,0,0,0,,0,0,0,0,0,0,0,,0
Denzel Chavis,190657,CB,TEMPLE,12,1,306,59.9,,59.9,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,,1
Tyler Stewart,190671,WR,TEMPLE,9,0,306,52.2,64.5,53.3,12,2,28,0,0,205,17.1,1,2,2,24,0,0,24,12.0,14
Jabari Strait,190705,CB,TROY,11,0,318,,60.3,60.4,0,0,0,0,0,0,,2,1,0,0,0,0,0,0.0,1
Lloyd Avant,190713,HB,COLO STATE,12,0,144,62.2,,62.4,11,0,50,0,0,269,24.5,0,0,0,0,0,0,0,,11
